,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Aggravation Vacationer,"(('anger', 'NN'), 4)","(('how', 'WRB'), 3)","(('others', 'NNS'), 3)","(('more', 'RBR'), 3)","(('life', 'NN'), 2)","(('kind', 'NN'), 2)","(('When', 'WRB'), 2)","(('frustrated', 'VBN'), 1)","(('bird', 'NN'), 1)","(('out', 'RP'), 1)","(('choice', 'NN'), 1)","(('creative', 'JJ'), 1)","(('shooting', 'VBG'), 1)","(('healthy', 'JJ'), 1)","(('ok', 'NN'), 1)","(('why', 'WRB'), 1)","(('disease', 'NN'), 1)","(('Coming', 'VBG'), 1)","(('drugs/alcohol', 'NN'), 1)","(('hard', 'JJ'), 1)"
Alienation Alleviationator,"(('who', 'WP'), 2)","(('what', 'WP'), 2)","(('addict', 'NN'), 1)","(('doesn＊t', 'JJ'), 1)","(('judge', 'NN'), 1)","(('people', 'NNS'), 1)","(('surrounding', 'VBG'), 1)","(('drug', 'NN'), 1)","(('embarrassing', 'VBG'), 1)","(('first', 'JJ'), 1)","(('feelings', 'NNS'), 1)","(('Being', 'VBG'), 1)","(('person', 'NN'), 1)","(('world', 'NN'), 1)","(('hurt', 'NN'), 1)","(('addicts', 'NNS'), 1)","(('When', 'WRB'), 1)","(('stigma', 'NN'), 1)","(('others', 'NNS'), 1)",
Almighty Alchemizer,"(('God', 'NNP'), 16)","(('recovery', 'NN'), 7)","(('that', 'WDT'), 7)","(('life', 'NN'), 6)","(('out', 'RP'), 6)","(('things', 'NNS'), 5)","(('foods', 'NNS'), 5)","(('anger', 'NN'), 5)","(('disease', 'NN'), 4)","(('positive', 'JJ'), 4)","(('addiction', 'NN'), 4)","(('angry', 'JJ'), 3)","(('when', 'WRB'), 3)","(('changes', 'NNS'), 3)","(('trying', 'VBG'), 3)","(('good', 'JJ'), 3)","(('way', 'NN'), 3)","(('one', 'CD'), 3)","(('food', 'NN'), 3)","(('possible', 'JJ'), 2)"
Amender Amen＊r,"(('damage', 'NN'), 4)","(('others', 'NNS'), 2)","(('when', 'WRB'), 2)","(('times', 'NNS'), 2)","(('way', 'NN'), 1)","(('effect', 'NN'), 1)","(('recovery', 'NN'), 1)","(('only', 'JJ'), 1)","(('opiates', 'NNS'), 1)","(('using', 'VBG'), 1)","(('I＊d', 'NNP'), 1)","(('many', 'JJ'), 1)","(('truth', 'NN'), 1)","(('shame', 'NN'), 1)","(('wreckage', 'NN'), 1)","(('uncomfortable', 'JJ'), 1)","(('more', 'JJR'), 1)","(('amends', 'NNS'), 1)","(('mad', 'JJ'), 1)","(('past', 'NN'), 1)"
Amender Befriender,"(('bridges', 'NNS'), 11)","(('amends', 'NNS'), 10)","(('friends', 'NNS'), 10)","(('that', 'WDT'), 9)","(('going', 'VBG'), 7)","(('people', 'NNS'), 7)","(('life', 'NN'), 6)","(('mistakes', 'NNS'), 5)","(('addiction', 'NN'), 5)","(('past', 'JJ'), 4)","(('what', 'WP'), 4)","(('behavior', 'NN'), 4)","(('dealers', 'NNS'), 4)","(('addict', 'NN'), 4)","(('all', 'PDT'), 4)","(('detox', 'NN'), 3)","(('list', 'NN'), 3)","(('when', 'WRB'), 3)","(('recovery', 'NN'), 3)","(('I＊ve', 'NNP'), 3)"
Anger Gangster,"(('anger', 'NN'), 4)","(('how', 'WRB'), 3)","(('others', 'NNS'), 3)","(('more', 'RBR'), 3)","(('kind', 'NN'), 2)","(('gangster', 'NN'), 2)","(('counselors', 'NNS'), 1)","(('clean', 'JJ'), 1)","(('chain', 'NN'), 1)","(('space', 'NN'), 1)","(('out', 'RP'), 1)","(('creative', 'JJ'), 1)","(('Rehab', 'NNP'), 1)","(('outlet', 'NN'), 1)","(('healthy', 'JJ'), 1)","(('drugs/alcohol', 'NN'), 1)","(('when', 'WRB'), 1)","(('why', 'WRB'), 1)","(('Coming', 'VBG'), 1)","(('irritable', 'JJ'), 1)"
Angerexia,"(('anger', 'NN'), 8)","(('way', 'NN'), 4)","(('positive', 'JJ'), 3)","(('God', 'NNP'), 3)","(('feeling', 'NN'), 2)","(('angerexic', 'NN'), 2)","(('order', 'NN'), 2)","(('more', 'RBR'), 2)","(('angry', 'JJ'), 2)","(('resentment', 'NN'), 2)","(('withholds', 'NNS'), 2)","(('place', 'NN'), 2)","(('Anger', 'NNP'), 2)","(('heart', 'NN'), 2)","(('When', 'WRB'), 1)","(('future', 'NN'), 1)","(('fester', 'RBR'), 1)","(('anything', 'NN'), 1)","(('emotion', 'NN'), 1)","(('cork', 'NN'), 1)"
Anxiety Exiler,"(('anxiety', 'NN'), 8)","(('problem', 'NN'), 5)","(('situation', 'NN'), 4)","(('more', 'JJR'), 4)","(('pain', 'NN'), 3)","(('exiled', 'VBN'), 3)","(('being', 'VBG'), 2)","(('exiler', 'NN'), 2)","(('life', 'NN'), 2)","(('lot', 'NN'), 2)","(('rid', 'JJ'), 2)","(('free', 'JJ'), 2)","(('solution', 'NN'), 2)","(('normal', 'JJ'), 2)","(('that', 'WDT'), 2)","(('strength', 'NN'), 1)","(('number', 'NN'), 1)","(('wanting', 'VBG'), 1)","(('slightest', 'JJS'), 1)","(('bag', 'NN'), 1)"
Anxiety X-terminator,"(('stress', 'NN'), 2)","(('work', 'NN'), 2)","(('feelings', 'NNS'), 2)","(('thought', 'VBN'), 1)","(('problem', 'NN'), 1)","(('Today', 'NN'), 1)","(('recovery', 'NN'), 1)","(('feeling', 'VBG'), 1)","(('over', 'RP'), 1)","(('related', 'VBN'), 1)","(('kids', 'NNS'), 1)","(('foods', 'NNS'), 1)","(('stressed', 'VBN'), 1)","(('identified', 'VBN'), 1)","(('own', 'JJ'), 1)","(('things', 'NNS'), 1)","(('up', 'RP'), 1)","(('unhealthy', 'JJ'), 1)","(('One', 'CD'), 1)","(('triggers', 'NNS'), 1)"
Apology Amen＊r,"(('friends', 'NNS'), 1)","(('been', 'VBN'), 1)","(('※amen§', 'NN'), 1)","(('apologies', 'NNS'), 1)","(('first', 'JJ'), 1)","(('rehab', 'NN'), 1)","(('when', 'WRB'), 1)","(('integrity', 'NN'), 1)","(('honest', 'JJ'), 1)","(('crying', 'VBG'), 1)",,,,,,,,,,
Apology Automator,"(('sorry', 'NN'), 1)","(('addict', 'NN'), 1)","(('amount', 'NN'), 1)","(('called', 'VBN'), 1)","(('apologies', 'NNS'), 1)","(('Apologies', 'NNS'), 1)","(('returning', 'VBG'), 1)","(('meaning', 'NN'), 1)","(('mind', 'NN'), 1)","(('up', 'RP'), 1)","(('My', 'NNP'), 1)","(('bad', 'JJ'), 1)","(('fake', 'JJ'), 1)","(('每', 'JJ'), 1)","(('Badiator', 'NNP'), 1)","(('couple', 'NN'), 1)","(('bucks', 'NNS'), 1)","(('out', 'RP'), 1)","(('Sorry', 'NNP'), 1)","(('millionth', 'NN'), 1)"
Arrogance Arrestor,"(('second', 'JJ'), 4)","(('miracle', 'NN'), 4)","(('when', 'WRB'), 4)","(('nature', 'NN'), 4)","(('how', 'WRB'), 4)","(('possible', 'JJ'), 2)","(('new', 'JJ'), 2)","(('such', 'JJ'), 2)","(('friend', 'NN'), 2)","(('friends', 'NNS'), 2)","(('How', 'WRB'), 2)","(('way', 'NN'), 2)","(('person', 'NN'), 2)","(('I＊m', 'NNP'), 2)","(('day', 'NN'), 2)","(('thing', 'NN'), 2)","(('much', 'JJ'), 1)","(('anything', 'NN'), 1)","(('blessed', 'JJ'), 1)","(('sober', 'VBN'), 1)"
Attitude Alchemizer,"(('negative', 'JJ'), 5)","(('life', 'NN'), 4)","(('attitude', 'NN'), 4)","(('how', 'WRB'), 4)","(('conflict', 'NN'), 4)","(('way', 'NN'), 4)","(('being', 'VBG'), 3)","(('what', 'WP'), 3)","(('thoughts', 'NNS'), 3)","(('negativity', 'NN'), 3)","(('time', 'NN'), 3)","(('addiction', 'NN'), 3)","(('more', 'RBR'), 3)","(('same', 'JJ'), 2)","(('group', 'NN'), 2)","(('friends', 'NNS'), 2)","(('most', 'JJS'), 2)","(('When', 'WRB'), 2)","(('going', 'VBG'), 2)","(('positive', 'JJ'), 2)"
Autopilot Auto X＊r,"(('drugs', 'NNS'), 4)","(('autopilot', 'NN'), 4)","(('up', 'RP'), 3)","(('where', 'WRB'), 3)","(('when', 'WRB'), 3)","(('work', 'NN'), 3)","(('feelings', 'NNS'), 3)","(('clean', 'JJ'), 2)","(('anything', 'NN'), 2)","(('using', 'VBG'), 2)","(('being', 'VBG'), 2)","(('why', 'WRB'), 2)","(('breakfast', 'NN'), 2)","(('addiction', 'NN'), 2)","(('what', 'WP'), 2)","(('withdrawals', 'NNS'), 2)","(('pot', 'NN'), 2)","(('filtering', 'VBG'), 2)","(('day', 'NN'), 2)","(('gratification', 'NN'), 2)"
Avalanche Avenger,"(('turkey', 'NN'), 3)","(('When', 'WRB'), 2)","(('cold', 'JJ'), 2)","(('going', 'VBG'), 2)","(('skin', 'NN'), 2)","(('when', 'WRB'), 2)","((""'s"", 'POS'), 2)","(('way', 'NN'), 1)","(('Looked', 'VBN'), 1)","(('frustrated', 'VBN'), 1)","(('bird', 'NN'), 1)","(('sobriety', 'NN'), 1)","(('detoxing', 'NN'), 1)","(('choice', 'NN'), 1)","(('country', 'NN'), 1)","(('habit', 'NN'), 1)","(('shooting', 'VBG'), 1)","(('goosebumps', 'NNS'), 1)","(('feelings', 'NNS'), 1)","(('who', 'WP'), 1)"
