,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Disaster Master,"(('obstacles', 'NNS'), 4)","(('challenges', 'NNS'), 3)","(('recovery', 'NN'), 2)","(('lessons', 'NNS'), 2)","(('hard', 'JJ'), 2)","(('great', 'JJ'), 2)","(('that', 'WDT'), 2)","(('Obstacles', 'NNS'), 2)","(('pattern', 'NN'), 1)","(('better', 'JJR'), 1)","(('behavior', 'NN'), 1)","(('put', 'VBN'), 1)","(('quit', 'NN'), 1)","(('feeling', 'VBG'), 1)","(('emotional', 'JJ'), 1)","(('reason', 'NN'), 1)","(('help', 'NN'), 1)","(('facing', 'VBG'), 1)","(('when', 'WRB'), 1)","(('obstacle', 'NN'), 1)"
Distract-shunner,"(('things', 'NNS'), 3)","(('instant', 'JJ'), 1)","(('steps', 'NNS'), 1)","(('doing', 'VBG'), 1)","(('whimsical', 'JJ'), 1)","(('※I', 'FW'), 1)","(('past', 'JJ'), 1)","(('heightened', 'JJ'), 1)","(('deliberacy', 'NN'), 1)","(('approach', 'NN'), 1)","(('what', 'WP'), 1)","(('part', 'NN'), 1)","(('actions', 'NNS'), 1)","(('more', 'JJR'), 1)","(('many', 'JJ'), 1)","(('need', 'NN'), 1)","(('promise.§', 'NN'), 1)","(('inability', 'NN'), 1)","(('something', 'NN'), 1)","(('I＊ve', 'NNP'), 1)"
Distraction Assassin,"(('disease', 'NN'), 5)","(('每', 'NN'), 3)","(('strength', 'NN'), 2)","(('drugs', 'NNS'), 2)","(('addiction', 'NN'), 2)","(('nothing', 'NN'), 2)","(('beautiful', 'JJ'), 1)","(('There', 'EX'), 1)","(('triggers', 'NNS'), 1)","(('glimpse', 'NN'), 1)","(('simple', 'JJ'), 1)","(('parts', 'NNS'), 1)","(('distracted', 'VBN'), 1)","(('What', 'WP'), 1)","(('doing', 'VBG'), 1)","(('addict', 'NN'), 1)","(('flus', 'JJ'), 1)","(('clean', 'JJ'), 1)","(('colds', 'NNS'), 1)","(('contagious', 'JJ'), 1)"
Divine Designer,"(('recovery', 'NN'), 5)","(('things', 'NNS'), 5)","(('that', 'WDT'), 4)","(('changes', 'NNS'), 3)","(('foods', 'NNS'), 3)","(('life', 'NN'), 3)","(('God', 'NNP'), 3)","(('fulfillment', 'NN'), 2)","(('disease', 'NN'), 2)","(('up', 'RP'), 2)","(('inner', 'JJ'), 2)","(('true', 'JJ'), 2)","(('there', 'EX'), 2)","(('difficult', 'JJ'), 2)","(('learned', 'VBN'), 2)","(('possible', 'JJ'), 2)","(('peace', 'NN'), 1)","(('better', 'JJR'), 1)","(('writing', 'VBG'), 1)","(('feeling', 'NN'), 1)"
Double Wronger,"(('been', 'VBN'), 4)","(('wrong', 'JJ'), 4)","(('每', 'NN'), 3)","(('addiction', 'NN'), 3)","(('drugs', 'NNS'), 2)","(('每', 'JJ'), 2)","(('dope', 'NN'), 2)","(('life', 'NN'), 2)","(('friends', 'NNS'), 2)","(('wrongs', 'NNS'), 2)","(('sense', 'NN'), 2)","(('right', 'NN'), 1)","(('self', 'NN'), 1)","(('tried', 'VBN'), 1)","(('nobody', 'NN'), 1)","(('hold', 'NN'), 1)","(('drug', 'NN'), 1)","(('how', 'WRB'), 1)","(('bad', 'JJ'), 1)","(('insecurity', 'NN'), 1)"
Doubt Deserter,"(('sober', 'JJ'), 1)","(('Negativity', 'NNP'), 1)","(('much', 'JJ'), 1)","(('grown', 'VBN'), 1)","(('sobriety', 'NN'), 1)","(('free', 'JJ'), 1)","(('source', 'NN'), 1)","(('influential', 'JJ'), 1)","(('difference', 'NN'), 1)","(('creep', 'NN'), 1)","(('how', 'WRB'), 1)","(('when', 'WRB'), 1)","(('fear', 'NN'), 1)","(('drugs', 'NNS'), 1)","(('abilities', 'NNS'), 1)","(('long', 'JJ'), 1)","(('refreshing', 'VBG'), 1)","(('ways', 'NNS'), 1)","(('success', 'NN'), 1)","(('worth', 'JJ'), 1)"
Downer Frowner,"(('cravings', 'NNS'), 3)","(('beautiful', 'JJ'), 2)","(('foods', 'NNS'), 2)","(('disease', 'NN'), 2)","(('one', 'CD'), 2)","(('day', 'NN'), 2)","(('focused', 'VBN'), 2)","(('gold', 'NN'), 1)","(('There', 'EX'), 1)","(('middle', 'JJ'), 1)","(('ground', 'NN'), 1)","(('nothing', 'NN'), 1)","(('feeling', 'VBG'), 1)","(('paralyzed', 'VBN'), 1)","(('head', 'NN'), 1)","(('plan', 'NN'), 1)","(('name', 'NN'), 1)","(('next', 'JJ'), 1)","(('amazed', 'VBN'), 1)","(('transportation', 'NN'), 1)"
Ego Eavesdropper,"(('help', 'NN'), 3)","(('mind', 'NN'), 2)","(('who', 'WP'), 2)","(('``', '``'), 2)","(('genuine', 'JJ'), 1)","(('huge', 'JJ'), 1)","(('emotion', 'NN'), 1)","(('good', 'JJ'), 1)","(('mindset', 'NN'), 1)","(('seeking', 'VBG'), 1)","(('vested', 'JJ'), 1)","(('destruction', 'NN'), 1)","(('been', 'VBN'), 1)","(('Psychology', 'NNP'), 1)","(('longer', 'RBR'), 1)","(('drug', 'NN'), 1)","(('stopped', 'VBN'), 1)","(('hardest', 'JJS'), 1)","(('hand', 'NN'), 1)","(('life', 'NN'), 1)"
Ego Eclipser,"(('something', 'NN'), 6)","(('miracle', 'NN'), 4)","(('second', 'JJ'), 4)","(('I＊m', 'NNP'), 4)","(('nature', 'NN'), 4)","(('mood', 'NN'), 4)","(('how', 'WRB'), 4)","(('junk', 'NN'), 4)","(('ego', 'NN'), 4)","(('good', 'JJ'), 4)","(('new', 'JJ'), 3)","(('life', 'NN'), 3)","(('when', 'WRB'), 3)","(('way', 'NN'), 3)","(('junkie', 'NN'), 3)","(('trash', 'NN'), 3)","(('I＊ll', 'NNP'), 2)","(('anything', 'NN'), 2)","(('better', 'JJR'), 2)","(('more', 'JJR'), 2)"
Ego Excuser,"(('There', 'EX'), 2)","(('things', 'NNS'), 2)","(('time', 'NN'), 2)","(('deceitful', 'JJ'), 1)","(('shame', 'NN'), 1)","(('course', 'NN'), 1)","(('outlandish', 'JJ'), 1)","(('anything', 'NN'), 1)","(('condescending', 'NN'), 1)","(('period', 'NN'), 1)","(('ashamed', 'VBN'), 1)","(('每', 'NNP'), 1)","(('lame', 'JJ'), 1)","(('up', 'RP'), 1)","(('excuse', 'NN'), 1)","(('life', 'NN'), 1)","(('one', 'CD'), 1)","(('w', 'NN'), 1)","(('that', 'WDT'), 1)","(('accompanied', 'VBN'), 1)"
Ego Puffer,"(('able', 'JJ'), 3)","(('drugs', 'NNS'), 2)","(('life', 'NN'), 2)","(('people', 'NNS'), 2)","(('addiction', 'NN'), 2)","(('own', 'JJ'), 2)","(('more', 'RBR'), 2)","(('mood', 'NN'), 2)","(('rules', 'NNS'), 2)","(('clean', 'JJ'), 1)","(('People', 'NNS'), 1)","(('plummetted', 'VBN'), 1)","(('being', 'VBG'), 1)","(('today', 'NN'), 1)","(('boundaries', 'NNS'), 1)","(('doing', 'VBG'), 1)","(('up', 'RP'), 1)","(('elevator', 'NN'), 1)","(('gangster', 'NN'), 1)","(('sad', 'JJ'), 1)"
Ego X＊r,"(('drugs', 'NNS'), 4)","(('curve', 'NN'), 4)","(('how', 'WRB'), 3)","(('friends', 'NNS'), 3)","(('when', 'WRB'), 3)","(('balls', 'NNS'), 3)","(('shoulder', 'NN'), 2)","(('up', 'RP'), 2)","(('person', 'NN'), 2)","(('such', 'JJ'), 2)","(('friend', 'NN'), 2)","(('who', 'WP'), 2)","(('someone', 'NN'), 2)","(('everyone', 'NN'), 2)","(('life', 'NN'), 2)","(('addicted', 'VBN'), 2)","(('better', 'JJR'), 1)","(('beers', 'NNS'), 1)","(('back', 'RP'), 1)","(('capable', 'JJ'), 1)"
Emotions Auditor,"(('anxiety', 'NN'), 5)","(('how', 'WRB'), 4)","(('recovery', 'NN'), 4)","(('mood', 'NN'), 4)","(('being', 'VBG'), 3)","(('exiled', 'VBN'), 3)","(('clean', 'JJ'), 2)","(('potential', 'JJ'), 2)","(('people', 'NNS'), 2)","(('someone', 'NN'), 2)","(('free', 'JJ'), 2)","(('who', 'WP'), 2)","(('what', 'WP'), 2)","(('when', 'WRB'), 2)","(('emotions', 'NNS'), 2)","(('time', 'NN'), 2)","(('exiler', 'NN'), 2)","(('reacting', 'VBG'), 2)","(('high', 'JJ'), 2)","(('friends', 'NNS'), 2)"
Emotions Elixir,"(('emotions', 'NNS'), 7)","(('feelings', 'NNS'), 5)","(('conflict', 'NN'), 5)","(('discomfort', 'NN'), 4)","(('up', 'RP'), 3)","(('life', 'NN'), 3)","(('what', 'WP'), 3)","(('things', 'NNS'), 3)","(('pot', 'NN'), 3)","(('how', 'WRB'), 3)","(('recovery', 'NN'), 3)","(('more', 'JJR'), 3)","(('that', 'WDT'), 3)","(('addiction', 'NN'), 3)","(('time', 'NN'), 3)","(('world', 'NN'), 2)","(('doing', 'VBG'), 2)","(('such', 'JJ'), 2)","(('when', 'WRB'), 2)","(('right', 'JJ'), 2)"
Emotions Emancipator,"(('feeling', 'NN'), 4)","(('anger', 'NN'), 3)","(('emotion', 'NN'), 2)","(('angerexic', 'NN'), 2)","(('order', 'NN'), 2)","(('withholds', 'NNS'), 2)","(('Anger', 'NNP'), 2)","(('situation', 'NN'), 1)","(('anything', 'NN'), 1)","(('using', 'VBG'), 1)","(('best', 'JJS'), 1)","(('lashing', 'VBG'), 1)","(('other', 'JJ'), 1)","(('scary', 'JJ'), 1)","(('how', 'WRB'), 1)","(('grip', 'NN'), 1)","(('angerexia', 'NN'), 1)","(('variety', 'NN'), 1)","(('weight', 'NN'), 1)","(('damaging', 'VBG'), 1)"
Emotions Engineer,"(('feelings', 'NNS'), 6)","(('drugs', 'NNS'), 4)","(('emotions', 'NNS'), 3)","(('own', 'JJ'), 3)","(('misery', 'NN'), 3)","(('able', 'JJ'), 2)","(('people', 'NNS'), 2)","(('control', 'NN'), 2)","(('suppressing', 'VBG'), 2)","(('how', 'WRB'), 2)","(('sober', 'NN'), 2)","(('more', 'RBR'), 2)","(('每', 'JJ'), 2)","(('sense', 'NN'), 2)","(('actions', 'NNS'), 1)","(('diarrhea', 'NN'), 1)","(('grip', 'NN'), 1)","(('clean', 'NN'), 1)","(('halt', 'NN'), 1)","(('opposite', 'JJ'), 1)"
Emotions X-rayer,"(('emotions', 'NNS'), 5)","(('Today', 'NN'), 3)","(('sobriety', 'NN'), 3)","(('change', 'NN'), 3)","(('motivation', 'NN'), 3)","(('withdrawal', 'NN'), 3)","(('going', 'VBG'), 2)","(('drugs', 'NNS'), 2)","(('what', 'WP'), 2)","(('order', 'NN'), 2)","(('feelings', 'NNS'), 2)","(('dark', 'JJ'), 2)","(('moments', 'NNS'), 2)","(('experiences', 'NNS'), 2)","(('motivated', 'VBN'), 2)","(('days', 'NNS'), 2)","(('places', 'NNS'), 1)","(('set', 'VBN'), 1)","(('anything', 'NN'), 1)","(('depressing', 'VBG'), 1)"
Endorphin Flooder,"(('endorphins', 'NNS'), 5)","(('brain', 'NN'), 4)","(('drugs', 'NNS'), 3)","(('life', 'NN'), 3)","(('things', 'NNS'), 3)","(('good', 'JJ'), 3)","(('future', 'NN'), 3)","(('that', 'WDT'), 3)","(('meetings', 'NNS'), 2)","(('long', 'JJ'), 2)","(('own', 'JJ'), 2)","(('ways', 'NNS'), 2)","(('next', 'JJ'), 2)","(('addicted', 'VBN'), 2)","(('When', 'WRB'), 2)","(('out', 'RP'), 2)","((""'s"", 'POS'), 2)","(('there', 'EX'), 2)","(('amount', 'NN'), 1)","(('thoughts', 'NNS'), 1)"
Ever Evolving Flower,"(('I＊m', 'NNP'), 7)","(('life', 'NN'), 4)","(('things', 'NNS'), 4)","(('miracle', 'NN'), 4)","(('future', 'NN'), 4)","(('being', 'VBG'), 3)","(('today', 'NN'), 3)","(('using', 'VBG'), 3)","(('who', 'WP'), 3)","(('way', 'NN'), 3)","(('high', 'JJ'), 3)","(('evolving', 'VBG'), 3)","(('new', 'JJ'), 3)","(('meetings', 'NNS'), 3)","(('poor', 'JJ'), 3)","(('people', 'NNS'), 3)","(('day', 'NN'), 3)","(('believing', 'VBG'), 2)","(('years', 'NNS'), 2)","(('one', 'CD'), 2)"
Excrement Expector,"(('life', 'NN'), 6)","(('shit', 'NN'), 4)","(('drugs', 'NNS'), 3)","(('pain', 'NN'), 3)","(('able', 'JJ'), 2)","(('world', 'NN'), 2)","(('shit', 'JJ'), 2)","(('Everything', 'NN'), 2)","(('least', 'JJS'), 2)","(('existence', 'NN'), 2)","(('worst', 'JJS'), 2)","(('happens', 'NNS'), 2)","(('recovery', 'NN'), 2)","(('excrement', 'JJ'), 2)","(('step', 'NN'), 2)","(('excrement', 'NN'), 2)","(('tenfold', 'JJ'), 1)","(('clean', 'JJ'), 1)","(('There＊s', 'NNP'), 1)","(('choice', 'NN'), 1)"
Excuse Exterminator,"(('excuses', 'NNS'), 16)","(('more', 'JJR'), 5)","(('when', 'WRB'), 4)","(('life', 'NN'), 4)","(('drugs', 'NNS'), 4)","(('crutch', 'NN'), 4)","(('time', 'NN'), 4)","(('more', 'RBR'), 4)","(('who', 'WP'), 3)","(('When', 'WRB'), 3)","(('poor', 'JJ'), 3)","(('crutches', 'NNS'), 3)","(('better', 'JJR'), 3)","(('addict', 'NN'), 3)","(('what', 'WP'), 3)","(('why', 'WRB'), 2)","(('things', 'NNS'), 2)","(('headache', 'NN'), 2)","(('house', 'NN'), 2)","(('fate', 'NN'), 2)"
Excuse Nuker,"(('excuses', 'NNS'), 4)","(('that', 'WDT'), 3)","(('doing', 'VBG'), 3)","(('things', 'NNS'), 3)","(('time', 'NN'), 3)","(('up', 'RP'), 2)","(('excuse', 'NN'), 2)","(('something', 'NN'), 2)","(('I＊m', 'NNP'), 2)","(('There', 'EX'), 2)","(('least', 'JJS'), 2)","(('pot', 'NN'), 2)","(('crutch', 'NN'), 2)","(('addiction', 'NN'), 2)","(('watching', 'VBG'), 2)","(('there', 'EX'), 2)","(('life', 'NN'), 2)","(('Why', 'WRB'), 2)","(('trying', 'VBG'), 2)","(('deceitful', 'JJ'), 1)"
Excuse X＊r,"(('recovery', 'NN'), 3)","(('there', 'EX'), 3)","(('that', 'WDT'), 3)","(('excuses', 'NNS'), 3)","(('possible', 'JJ'), 2)","(('fault', 'NN'), 2)","(('nothing', 'NN'), 2)","(('asking', 'VBG'), 2)","(('what', 'WP'), 2)","(('matter', 'NN'), 1)","(('Hell', 'NNP'), 1)","(('using', 'VBG'), 1)","(('situation', 'NN'), 1)","(('sobriety', 'NN'), 1)","(('anything', 'NN'), 1)","(('taken', 'VBN'), 1)","(('choice', 'NN'), 1)","(('time', 'NN'), 1)","(('decisions', 'NNS'), 1)","(('self-review', 'NN'), 1)"
Faith Factory,"(('rules', 'NNS'), 2)","(('addiction', 'NN'), 2)","(('life', 'NN'), 2)","(('Today', 'NN'), 1)","(('clean', 'JJ'), 1)","(('connected', 'VBN'), 1)","(('recovery', 'NN'), 1)","(('script', 'NN'), 1)","(('help', 'NN'), 1)","(('able', 'JJ'), 1)","(('didn＊t', 'NN'), 1)","(('today', 'NN'), 1)","(('boundaries', 'NNS'), 1)","(('there', 'EX'), 1)","(('knowledge', 'NN'), 1)","(('self-knowledge', 'NN'), 1)","(('I＊ve', 'NNP'), 1)","(('writing', 'VBG'), 1)","(('follow', 'JJ'), 1)","(('nothing', 'NN'), 1)"
Faith Flooder,"(('life', 'NN'), 6)","(('clean', 'JJ'), 5)","(('power', 'NN'), 5)","(('up', 'RP'), 4)","(('God', 'NNP'), 4)","(('changes', 'NNS'), 3)","(('drugs', 'NNS'), 3)","(('When', 'WRB'), 3)","(('more', 'JJR'), 3)","(('that', 'WDT'), 3)","(('gutter', 'NN'), 3)","(('using', 'VBG'), 2)","(('being', 'VBG'), 2)","(('same', 'JJ'), 2)","(('who', 'WP'), 2)","(('days', 'NNS'), 2)","(('most', 'RBS'), 2)","(('when', 'WRB'), 2)","(('stable', 'JJ'), 2)","(('foods', 'NNS'), 2)"
Fear FYI＊r,"(('time', 'NN'), 3)","(('life', 'NN'), 2)","(('such', 'JJ'), 2)","(('grave', 'NN'), 2)","(('每', 'NN'), 2)","(('reminder', 'NN'), 2)","(('situation', 'NN'), 1)","(('opposite', 'JJ'), 1)","(('worthless.§', 'VBN'), 1)","(('shooting', 'VBG'), 1)","(('being', 'VBG'), 1)","(('destination', 'NN'), 1)","(('fear', 'NN'), 1)","(('furry', 'JJ'), 1)","(('damn', 'NN'), 1)","(('bit', 'NN'), 1)","(('intellect', 'NN'), 1)","(('inspire', 'NN'), 1)","(('ultimate', 'JJ'), 1)","((""'s"", 'POS'), 1)"
Fear Flusher,"(('life', 'NN'), 4)","(('I＊m', 'NNP'), 4)","(('comfortable', 'JJ'), 3)","(('recovery', 'NN'), 3)","(('groups', 'NNS'), 3)","(('doing', 'VBG'), 2)","(('support', 'NN'), 2)","(('discomfort', 'NN'), 2)","(('who', 'WP'), 2)","(('what', 'WP'), 2)","(('bitter', 'JJ'), 2)","(('scary', 'JJ'), 2)","(('junk', 'NN'), 2)","(('how', 'WRB'), 2)","(('Today', 'NN'), 2)","(('taking', 'VBG'), 2)","(('going', 'VBG'), 2)","(('dark', 'JJ'), 1)","(('places', 'NNS'), 1)","(('same', 'JJ'), 1)"
Feelings Fantasizer,"(('feelings', 'NNS'), 7)","(('Today', 'NN'), 3)","(('change', 'NN'), 3)","(('motivation', 'NN'), 3)","(('emotions', 'NNS'), 3)","(('withdrawal', 'NN'), 3)","(('sobriety', 'NN'), 2)","(('today', 'NN'), 2)","(('drugs', 'NNS'), 2)","(('up', 'RP'), 2)","(('going', 'VBG'), 2)","(('I＊m', 'NNP'), 2)","(('dark', 'JJ'), 2)","(('moments', 'NNS'), 2)","(('experiences', 'NNS'), 2)","(('motivated', 'VBN'), 2)","(('suppressing', 'VBG'), 2)","(('actions', 'NNS'), 1)","(('places', 'NNS'), 1)","(('diarrhea', 'NN'), 1)"
Feelings Felicitizer,"(('feelings', 'NNS'), 5)","(('emotions', 'NNS'), 4)","(('anger', 'NN'), 4)","(('anything', 'NN'), 3)","(('drugs', 'NNS'), 3)","(('feeling', 'NN'), 3)","(('order', 'NN'), 3)","(('what', 'WP'), 3)","(('angerexic', 'NN'), 2)","(('being', 'VBG'), 2)","(('human', 'JJ'), 2)","(('mind', 'NN'), 2)","(('withdrawals', 'NNS'), 2)","(('best', 'JJS'), 2)","(('filtering', 'VBG'), 2)","(('withholds', 'NNS'), 2)","(('days', 'NNS'), 2)","(('off', 'RP'), 2)","(('much', 'JJ'), 1)","(('grip', 'NN'), 1)"
Feelings Flipper,"(('feelings', 'NNS'), 12)","(('good', 'JJ'), 6)","(('important', 'JJ'), 4)","(('friends', 'NNS'), 4)","(('mood', 'NN'), 4)","(('time', 'NN'), 4)","(('addict', 'NN'), 4)","(('food', 'NN'), 3)","(('things', 'NNS'), 3)","(('what', 'WP'), 3)","(('when', 'WRB'), 3)","(('right', 'JJ'), 3)","(('recovery', 'NN'), 3)","(('ego', 'NN'), 3)","(('something', 'NN'), 2)","(('negative', 'JJ'), 2)","(('change', 'NN'), 2)","(('up', 'RP'), 2)","(('life', 'NN'), 2)","(('past', 'JJ'), 2)"
Finish Line Forgetter,"(('what', 'WP'), 7)","(('steps', 'NNS'), 4)","(('finish', 'JJ'), 4)","(('line', 'NN'), 4)","(('baby', 'JJ'), 4)","(('doing', 'VBG'), 3)","(('things', 'NNS'), 3)","(('something', 'NN'), 3)","(('master', 'NN'), 2)","(('clean', 'JJ'), 2)","(('being', 'VBG'), 2)","(('week', 'NN'), 2)","(('norm', 'NN'), 2)","(('growth', 'NN'), 2)","(('instant', 'JJ'), 2)","(('down', 'RP'), 2)","(('today', 'NN'), 2)","(('time', 'NN'), 2)","(('how', 'WRB'), 2)","(('further', 'RBR'), 2)"
Forgiveness Flooder,"(('amends', 'NNS'), 3)","(('who', 'WP'), 2)","(('what', 'WP'), 2)","(('way', 'NN'), 1)","(('sobriety', 'NN'), 1)","(('much', 'JJ'), 1)","(('people', 'NNS'), 1)","(('terms', 'NNS'), 1)","(('recovery', 'NN'), 1)","(('addiction', 'NN'), 1)","(('over-prescribed', 'JJ'), 1)","(('journey', 'NN'), 1)","(('term', 'NN'), 1)","(('approach', 'NN'), 1)","(('doctor', 'NN'), 1)","(('medications', 'NNS'), 1)","(('challenges', 'NNS'), 1)","(('One', 'CD'), 1)","(('positive', 'JJ'), 1)","(('hurt', 'VBN'), 1)"
Forgiveness Rusher,"(('amends', 'NNS'), 6)","(('going', 'VBG'), 6)","(('making', 'VBG'), 4)","(('someone', 'NN'), 4)","(('one', 'CD'), 3)","(('what', 'WP'), 3)","(('pain', 'NN'), 3)","(('Today', 'NN'), 2)","(('how', 'WRB'), 2)","(('Making', 'VBG'), 2)","(('I＊m', 'NNP'), 2)","(('list', 'NN'), 2)","(('things', 'NNS'), 2)","(('sharing', 'VBG'), 2)","(('control', 'NN'), 2)","(('done', 'VBN'), 2)","(('matter', 'NN'), 1)","(('way', 'NN'), 1)","(('better', 'JJR'), 1)","(('behavior', 'NN'), 1)"
Foul Weather Friender,"(('people', 'NNS'), 15)","(('friends', 'NNS'), 11)","(('who', 'WP'), 9)","(('relationships', 'NNS'), 5)","(('recovery', 'NN'), 4)","(('today', 'NN'), 3)","(('life', 'NN'), 3)","(('friend', 'NN'), 3)","(('addiction', 'NN'), 3)","(('what', 'WP'), 3)","(('how', 'WRB'), 3)","(('lot', 'NN'), 3)","(('family', 'NN'), 3)","(('weather', 'NN'), 3)","(('bridges', 'NNS'), 2)","(('up', 'RP'), 2)","(('fair', 'VBN'), 2)","(('lives', 'NNS'), 2)","(('important', 'JJ'), 2)","(('weather', 'JJR'), 2)"
Frenzy Freezer,"(('situation', 'NN'), 6)","(('problem', 'NN'), 5)","(('anxiety', 'NN'), 4)","(('When', 'WRB'), 4)","(('problems', 'NNS'), 3)","(('more', 'JJR'), 3)","(('that', 'WDT'), 3)","(('pain', 'NN'), 3)","(('middle', 'JJ'), 2)","(('when', 'WRB'), 2)","(('program', 'NN'), 2)","(('God', 'NNP'), 2)","(('normal', 'JJ'), 2)","(('things', 'NNS'), 2)","(('name', 'NN'), 2)","(('panic', 'JJ'), 2)","(('solution', 'NN'), 2)","(('number', 'NN'), 1)","(('feeling', 'VBG'), 1)","(('anic', 'JJ'), 1)"
Giverade ,"(('paying', 'VBG'), 3)","(('friends', 'NNS'), 3)","(('addiction', 'NN'), 2)","(('who', 'WP'), 2)","(('positive', 'JJ'), 2)","(('facade', 'NN'), 2)","(('being', 'VBG'), 2)","(('concept', 'NN'), 1)","(('much', 'JJ'), 1)","(('detox', 'NN'), 1)","(('met', 'VBN'), 1)","(('messages', 'NNS'), 1)","(('left', 'VBN'), 1)","(('gesture', 'NN'), 1)","(('wired', 'VBN'), 1)","((""'favours"", 'NNS'), 1)","(('understand', 'JJ'), 1)","(('value', 'NN'), 1)","(('每', 'NN'), 1)","(('Paying', 'VBG'), 1)"
God Grounder,"(('God', 'NNP'), 10)","(('food', 'NN'), 6)","(('out', 'RP'), 5)","(('that', 'WDT'), 5)","(('recovery', 'NN'), 4)","(('addiction', 'NN'), 3)","(('When', 'WRB'), 3)","(('something', 'NN'), 3)","(('alcohol', 'NN'), 3)","(('one', 'CD'), 3)","(('good', 'JJ'), 3)","(('foods', 'NNS'), 2)","(('people', 'NNS'), 2)","(('problems', 'NNS'), 2)","(('cycle', 'NN'), 2)","(('when', 'WRB'), 2)","(('excess', 'JJ'), 2)","(('trying', 'VBG'), 2)","(('making', 'VBG'), 2)","(('daily', 'JJ'), 2)"
Good Will Gardener,"(('connections', 'NNS'), 3)","(('new', 'JJ'), 2)","(('more', 'JJR'), 2)","(('bridges', 'NNS'), 2)","(('growth', 'NN'), 1)","(('amount', 'NN'), 1)","(('that', 'WDT'), 1)","(('continuing', 'VBG'), 1)","(('recovery', 'NN'), 1)","(('path', 'NN'), 1)","(('love', 'NN'), 1)","(('short', 'JJ'), 1)","(('change', 'NN'), 1)","(('others', 'NNS'), 1)","(('when', 'WRB'), 1)","(('honest', 'NN'), 1)","(('shy', 'JJ'), 1)","(('off', 'RP'), 1)","(('personal', 'JJ'), 1)","(('I＊ve', 'NNP'), 1)"
Grace Moonlighter,"(('when', 'WRB'), 4)","(('When', 'WRB'), 4)","(('future', 'NN'), 3)","(('alcohol', 'NN'), 3)","(('God', 'NNP'), 3)","(('power', 'NN'), 3)","(('using', 'VBG'), 2)","(('Today', 'NN'), 2)","(('up', 'RP'), 2)","(('one', 'CD'), 2)","(('drugs', 'NNS'), 2)","(('way', 'NN'), 2)","(('there', 'EX'), 2)","(('days', 'NNS'), 2)","(('soul', 'NN'), 2)","(('substances', 'NNS'), 2)","(('higher', 'JJR'), 2)","(('food', 'NN'), 2)","(('craving', 'NN'), 2)","(('darkest', 'JJS'), 1)"
Gratitude Gardener,"(('God', 'NNP'), 3)","(('that', 'WDT'), 2)","(('problems', 'NNS'), 2)","(('soil', 'NN'), 1)","(('There', 'EX'), 1)","(('grateful', 'JJ'), 1)","(('moments', 'NNS'), 1)","(('connected', 'VBN'), 1)","(('anything', 'NN'), 1)","(('opposite', 'JJ'), 1)","(('recovery', 'NN'), 1)","(('daily', 'JJ'), 1)","(('centered', 'VBN'), 1)","(('garden', 'NN'), 1)","(('didn＊t', 'NN'), 1)","(('today', 'NN'), 1)","(('eating', 'NN'), 1)","(('when', 'WRB'), 1)","(('little', 'JJ'), 1)","(('where', 'WRB'), 1)"
Gratitude Goosebumper,"(('miracle', 'NN'), 4)","(('day', 'NN'), 2)","(('thing', 'NN'), 2)","(('possible', 'JJ'), 2)","(('way', 'NN'), 1)","(('sober', 'VBN'), 1)","(('yesterday', 'NN'), 1)","(('it＊s', 'VBN'), 1)","(('anything', 'NN'), 1)","(('miracles', 'NNS'), 1)","(('blessed', 'JJ'), 1)","(('Nobody', 'NN'), 1)","(('sense', 'NN'), 1)","(('sober', 'NN'), 1)","(('newfound', 'JJ'), 1)","(('today', 'NN'), 1)","(('one', 'NN'), 1)","(('when', 'WRB'), 1)","(('new', 'JJ'), 1)","(('own', 'JJ'), 1)"
Gratitude Grower,"(('life', 'NN'), 4)","(('poor', 'JJ'), 3)","(('lot', 'NN'), 3)","(('hell', 'NN'), 3)","(('what', 'WP'), 3)","(('beautiful', 'JJ'), 2)","(('why', 'WRB'), 2)","(('drug', 'NN'), 2)","(('which', 'WDT'), 2)","(('who', 'WP'), 2)","(('being', 'VBG'), 2)","(('towards', 'NNS'), 2)","(('better', 'JJR'), 2)","(('fate', 'NN'), 2)","(('more', 'RBR'), 2)","(('moments', 'NNS'), 2)","(('withdrawal', 'NN'), 2)","(('past', 'NN'), 2)","(('everything', 'NN'), 2)","(('matter', 'NN'), 1)"
Gratitude Guru,"(('thoughts', 'NNS'), 3)","(('positive', 'JJ'), 3)","(('conducive', 'JJ'), 2)","(('grateful', 'JJ'), 2)","(('thinking', 'NN'), 2)","(('new', 'JJ'), 2)","(('self-confidence', 'NN'), 2)","(('more', 'JJR'), 2)","(('helpful', 'JJ'), 2)","(('own', 'JJ'), 2)","(('days', 'NNS'), 2)","(('ways', 'NNS'), 2)","(('rewards', 'NNS'), 2)","(('encouraging', 'VBG'), 2)","(('way', 'NN'), 2)","(('recovery', 'NN'), 2)","(('day', 'NN'), 2)","(('reinforcing', 'VBG'), 2)","(('thankful', 'JJ'), 2)","(('craving', 'NN'), 2)"
