,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Aggravation Vacationer,"(('I', 'PRP'), 13)","(('my', 'PRP$'), 5)","(('me', 'PRP'), 5)","(('anger', 'NN'), 4)","(('It', 'PRP'), 3)","(('is', 'VBZ'), 3)","(('how', 'WRB'), 3)","(('others', 'NNS'), 3)","(('it', 'PRP'), 3)","(('more', 'RBR'), 3)","(('get', 'VBP'), 2)","(('not', 'RB'), 2)","(('feel', 'VBP'), 2)","(('am', 'VBP'), 2)","(('life', 'NN'), 2)","(('kind', 'NN'), 2)","(('be', 'VB'), 2)","(('use', 'VB'), 2)","(('When', 'WRB'), 2)","(('enabled', 'VBD'), 1)"
Alienation Alleviationator,"(('I', 'PRP'), 4)","(('it', 'PRP'), 3)","(('thinks', 'VBZ'), 2)","(('who', 'WP'), 2)","(('me', 'PRP'), 2)","(('what', 'WP'), 2)","(('get', 'VBP'), 1)","(('does', 'VBZ'), 1)","(('doesn＊t', 'VBZ'), 1)","(('stop', 'VB'), 1)","(('surrounding', 'VBG'), 1)","(('first', 'JJ'), 1)","(('not', 'RB'), 1)","(('world', 'NN'), 1)","(('doesn＊t', 'JJ'), 1)","(('try', 'VB'), 1)","(('feelings', 'NNS'), 1)","(('myself', 'PRP'), 1)","(('change', 'VB'), 1)","(('hurt', 'NN'), 1)"
Almighty Alchemizer,"(('I', 'PRP'), 45)","(('me', 'PRP'), 28)","(('my', 'PRP$'), 24)","(('God', 'NNP'), 16)","(('is', 'VBZ'), 14)","(('have', 'VBP'), 9)","(('not', 'RB'), 9)","(('can', 'MD'), 9)","(('recovery', 'NN'), 7)","(('that', 'WDT'), 7)","(('out', 'RP'), 6)","(('are', 'VBP'), 6)","(('life', 'NN'), 6)","(('was', 'VBD'), 6)","(('get', 'VB'), 5)","(('anger', 'NN'), 5)","(('will', 'MD'), 5)","(('things', 'NNS'), 5)","(('can＊t', 'VBP'), 5)","(('foods', 'NNS'), 5)"
Amender Amen＊r,"(('I', 'PRP'), 13)","(('damage', 'NN'), 4)","(('my', 'PRP$'), 3)","(('was', 'VBD'), 2)","(('when', 'WRB'), 2)","(('times', 'NNS'), 2)","(('is', 'VBZ'), 2)","(('can', 'MD'), 2)","(('others', 'NNS'), 2)","(('it', 'PRP'), 2)","(('face', 'VB'), 2)","(('them', 'PRP'), 2)","(('way', 'NN'), 1)","(('get', 'VB'), 1)","(('shift', 'VB'), 1)","(('had', 'VBD'), 1)","(('not', 'RB'), 1)","(('using', 'VBG'), 1)","(('remain', 'VBP'), 1)","(('mad', 'JJ'), 1)"
Amender Befriender,"(('I', 'PRP'), 89)","(('my', 'PRP$'), 46)","(('me', 'PRP'), 19)","((""'d"", 'MD'), 12)","(('bridges', 'NNS'), 11)","(('friends', 'NNS'), 10)","(('amends', 'NNS'), 10)","(('was', 'VBD'), 10)","(('am', 'VBP'), 10)","(('that', 'WDT'), 9)","(('had', 'VBD'), 7)","(('going', 'VBG'), 7)","(('have', 'VBP'), 7)","(('is', 'VBZ'), 7)","(('they', 'PRP'), 7)","(('people', 'NNS'), 7)","(('life', 'NN'), 6)","(('could', 'MD'), 5)","(('were', 'VBD'), 5)","(('addiction', 'NN'), 5)"
Anger Gangster,"(('I', 'PRP'), 7)","(('anger', 'NN'), 4)","(('me', 'PRP'), 4)","(('how', 'WRB'), 3)","(('my', 'PRP$'), 3)","(('It', 'PRP'), 3)","(('others', 'NNS'), 3)","(('it', 'PRP'), 3)","(('more', 'RBR'), 3)","(('their', 'PRP$'), 2)","(('am', 'VBP'), 2)","(('gangster', 'NN'), 2)","(('kind', 'NN'), 2)","(('be', 'VB'), 2)","(('is', 'VBZ'), 2)","(('get', 'VBP'), 1)","(('do', 'VBP'), 1)","(('get', 'VB'), 1)","(('getting', 'VBG'), 1)","(('doesn＊t', 'VBZ'), 1)"
Angerexia,"(('anger', 'NN'), 8)","(('will', 'MD'), 6)","(('me', 'PRP'), 6)","(('I', 'PRP'), 6)","(('my', 'PRP$'), 5)","(('it', 'PRP'), 5)","(('not', 'RB'), 4)","(('way', 'NN'), 4)","(('can', 'MD'), 4)","(('you', 'PRP'), 3)","(('live', 'VB'), 3)","(('God', 'NNP'), 3)","(('is', 'VBZ'), 3)","(('positive', 'JJ'), 3)","(('angerexic', 'NN'), 2)","(('more', 'RBR'), 2)","(('feeling', 'NN'), 2)","(('be', 'VB'), 2)","(('angry', 'JJ'), 2)","(('only', 'RB'), 2)"
Anxiety Exiler,"(('I', 'PRP'), 20)","(('my', 'PRP$'), 13)","(('anxiety', 'NN'), 8)","(('me', 'PRP'), 8)","(('problem', 'NN'), 5)","(('situation', 'NN'), 4)","(('was', 'VBD'), 4)","(('more', 'JJR'), 4)","(('is', 'VBZ'), 4)","(('get', 'VB'), 3)","(('not', 'RB'), 3)","(('It', 'PRP'), 3)","(('myself', 'PRP'), 3)","(('exiled', 'VBN'), 3)","((""'d"", 'MD'), 3)","(('can', 'MD'), 3)","(('pain', 'NN'), 3)","(('it', 'PRP'), 2)","(('being', 'VBG'), 2)","(('increase', 'VB'), 2)"
Anxiety X-terminator,"(('I', 'PRP'), 8)","(('my', 'PRP$'), 7)","(('can', 'MD'), 3)","(('work', 'NN'), 2)","(('feelings', 'NNS'), 2)","(('stress', 'NN'), 2)","(('have', 'VBP'), 2)","(('it', 'PRP'), 2)","(('Today', 'NN'), 1)","(('am', 'VBP'), 1)","(('over', 'RP'), 1)","(('problem', 'NN'), 1)","(('feeling', 'VBG'), 1)","(('was', 'VBD'), 1)","(('stressed', 'VBN'), 1)","(('foods', 'NNS'), 1)","(('give', 'VB'), 1)","(('things', 'NNS'), 1)","(('food', 'NN'), 1)","(('stress', 'JJ'), 1)"
Apology Amen＊r,"(('friends', 'NNS'), 1)","(('first', 'JJ'), 1)","(('I', 'PRP'), 1)","(('apologies', 'NNS'), 1)","(('as', 'RB'), 1)","(('once', 'RB'), 1)","(('emerged', 'VBP'), 1)","(('rehab', 'NN'), 1)","(('heard', 'VBD'), 1)","(('well', 'RB'), 1)","(('crying', 'VBG'), 1)","(('※amen§', 'NN'), 1)","(('been', 'VBN'), 1)","(('integrity', 'NN'), 1)","(('might', 'MD'), 1)","(('they', 'PRP'), 1)","(('My', 'PRP$'), 1)","(('have', 'VBP'), 1)","(('when', 'WRB'), 1)","(('my', 'PRP$'), 1)"
