,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Dire Extinguisher,"(('I', 'PRP'), 46)","(('my', 'PRP$'), 22)","(('is', 'VBZ'), 15)","(('me', 'PRP'), 10)","(('do', 'VB'), 7)","(('up', 'RP'), 6)","(('have', 'VBP'), 6)","(('had', 'VBD'), 5)","(('life', 'NN'), 5)","(('will', 'MD'), 5)","(('myself', 'PRP'), 5)","(('feel', 'VBP'), 5)","(('addiction', 'NN'), 5)","(('not', 'RB'), 4)","(('wrong', 'JJ'), 4)","(('recovery', 'NN'), 4)","(('been', 'VBN'), 4)","(('are', 'VBP'), 4)","((""n't"", 'RB'), 4)","(('be', 'VB'), 3)"
Disaster Blaster,"(('I', 'PRP'), 3)","(('my', 'PRP$'), 3)","(('middle', 'JJ'), 2)","(('take', 'VB'), 2)","(('is', 'VBZ'), 2)","(('when', 'WRB'), 2)","(('name', 'NN'), 2)","(('way', 'NN'), 1)","(('get', 'VB'), 1)","(('hot', 'JJ'), 1)","(('not', 'RB'), 1)","(('their', 'PRP$'), 1)","(('deep', 'JJ'), 1)","(('Sometimes', 'RB'), 1)","(('case', 'NN'), 1)","(('thinking', 'NN'), 1)","(('mess', 'NN'), 1)","(('worst', 'JJS'), 1)","(('second', 'JJ'), 1)","(('scenario', 'NN'), 1)"
Disaster Master,"(('I', 'PRP'), 12)","(('are', 'VBP'), 5)","(('me', 'PRP'), 4)","(('obstacles', 'NNS'), 4)","(('learn', 'VB'), 3)","(('am', 'VBP'), 3)","(('challenges', 'NNS'), 3)","(('always', 'RB'), 2)","(('not', 'RB'), 2)","(('too', 'RB'), 2)","(('lessons', 'NNS'), 2)","(('hard', 'JJ'), 2)","(('don＊t', 'VBP'), 2)","(('Obstacles', 'NNS'), 2)","(('they', 'PRP'), 2)","(('recovery', 'NN'), 2)","(('great', 'JJ'), 2)","(('that', 'WDT'), 2)","(('pattern', 'NN'), 1)","(('get', 'VB'), 1)"
Distract-shunner,"(('I', 'PRP'), 8)","(('my', 'PRP$'), 4)","(('things', 'NNS'), 3)","(('say', 'VB'), 2)","(('is', 'VBZ'), 2)","(('it', 'PRP'), 2)","(('actions', 'NNS'), 1)","(('attribute', 'VBP'), 1)","(('get', 'VB'), 1)","(('finished', 'VB'), 1)","(('now', 'RB'), 1)","(('whimsical', 'JJ'), 1)","(('※I', 'FW'), 1)","(('was', 'VBD'), 1)","(('heightened', 'JJ'), 1)","(('deliberacy', 'NN'), 1)","(('approach', 'NN'), 1)","(('want', 'JJ'), 1)","(('first', 'RB'), 1)","(('take', 'VBP'), 1)"
Distraction Assassin,"(('I', 'PRP'), 16)","(('myself', 'PRP'), 8)","(('was', 'VBD'), 6)","(('disease', 'NN'), 5)","(('my', 'PRP$'), 5)","(('had', 'VBD'), 4)","(('distract', 'VB'), 3)","(('每', 'NN'), 3)","(('me', 'PRP'), 3)","(('drugs', 'NNS'), 2)","(('go', 'VB'), 2)","(('only', 'RB'), 2)","(('strength', 'NN'), 2)","(('addiction', 'NN'), 2)","(('nothing', 'NN'), 2)","(('left', 'VBD'), 1)","(('beautiful', 'JJ'), 1)","(('There', 'EX'), 1)","(('clean', 'JJ'), 1)","(('removed', 'VBD'), 1)"
Divine Designer,"(('I', 'PRP'), 17)","(('my', 'PRP$'), 10)","(('have', 'VBP'), 7)","(('things', 'NNS'), 5)","(('me', 'PRP'), 5)","(('is', 'VBZ'), 5)","(('recovery', 'NN'), 5)","(('was', 'VBD'), 4)","(('that', 'WDT'), 4)","(('changes', 'NNS'), 3)","(('foods', 'NNS'), 3)","(('life', 'NN'), 3)","(('God', 'NNP'), 3)","(('never', 'RB'), 3)","(('can', 'MD'), 3)","(('do', 'VB'), 2)","(('inner', 'JJ'), 2)","(('up', 'RP'), 2)","(('fulfillment', 'NN'), 2)","(('always', 'RB'), 2)"
Double Wronger,"(('I', 'PRP'), 18)","(('my', 'PRP$'), 7)","(('do', 'VB'), 5)","(('been', 'VBN'), 4)","((""n't"", 'RB'), 4)","(('wrong', 'JJ'), 4)","(('had', 'VBD'), 3)","((""'ve"", 'VBP'), 3)","(('每', 'NN'), 3)","(('right', 'RB'), 3)","(('addiction', 'NN'), 3)","(('was', 'VBD'), 2)","(('drugs', 'NNS'), 2)","(('could', 'MD'), 2)","(('began', 'VBD'), 2)","((""'d"", 'MD'), 2)","(('每', 'JJ'), 2)","(('friends', 'NNS'), 2)","(('dope', 'NN'), 2)","(('life', 'NN'), 2)"
Doubt Deserter,"(('I', 'PRP'), 9)","(('am', 'VBP'), 3)","(('myself', 'PRP'), 3)","(('my', 'PRP$'), 2)","(('is', 'VBZ'), 2)","(('have', 'VBP'), 2)","(('sober', 'JJ'), 1)","(('Negativity', 'NNP'), 1)","(('much', 'JJ'), 1)","(('believe', 'VBP'), 1)","(('literally', 'RB'), 1)","(('such', 'PDT'), 1)","(('creep', 'NN'), 1)","(('how', 'WRB'), 1)","(('fear', 'NN'), 1)","(('drugs', 'NNS'), 1)","(('Being', 'VBG'), 1)","(('worth', 'JJ'), 1)","(('constraints', 'NNS'), 1)","(('come', 'VBN'), 1)"
Downer Frowner,"(('I', 'PRP'), 11)","(('my', 'PRP$'), 10)","(('was', 'VBD'), 4)","(('not', 'RB'), 3)","(('am', 'VBP'), 3)","(('would', 'MD'), 3)","(('cravings', 'NNS'), 3)","(('it', 'PRP'), 3)","(('beautiful', 'JJ'), 2)","(('foods', 'NNS'), 2)","(('could', 'MD'), 2)","(('focused', 'VBN'), 2)","(('is', 'VBZ'), 2)","(('disease', 'NN'), 2)","(('one', 'CD'), 2)","(('day', 'NN'), 2)","(('middle', 'JJ'), 1)","(('feeling', 'VBG'), 1)","(('feel', 'VBP'), 1)","(('plan', 'NN'), 1)"
Ego Eavesdropper,"(('I', 'PRP'), 10)","(('my', 'PRP$'), 5)","(('help', 'NN'), 3)","(('was', 'VBD'), 2)","(('mind', 'NN'), 2)","(('who', 'WP'), 2)","(('``', '``'), 2)","((""n't"", 'RB'), 2)","((""'d"", 'MD'), 2)","(('craved', 'VBD'), 2)","(('have', 'VB'), 2)","(('genuine', 'JJ'), 1)","(('hope', 'VBP'), 1)","(('had', 'VBD'), 1)","(('huge', 'JJ'), 1)","(('accept', 'VB'), 1)","(('seeking', 'VBG'), 1)","(('motives', 'NNS'), 1)","(('Only', 'RB'), 1)","(('belittled', 'VBD'), 1)"
Ego Eclipser,"(('I', 'PRP'), 47)","(('it', 'PRP'), 20)","(('was', 'VBD'), 18)","(('my', 'PRP$'), 17)","(('me', 'PRP'), 12)","(('is', 'VBZ'), 7)","(('something', 'NN'), 6)","(('My', 'PRP$'), 5)","(('so', 'RB'), 5)","(('second', 'JJ'), 4)","(('I＊m', 'NNP'), 4)","(('they', 'PRP'), 4)","(('miracle', 'NN'), 4)","(('how', 'WRB'), 4)","(('ego', 'NN'), 4)","(('good', 'JJ'), 4)","(('mood', 'NN'), 4)","(('nature', 'NN'), 4)","(('do', 'VB'), 4)","(('junk', 'NN'), 4)"
Ego Excuser,"(('I', 'PRP'), 9)","(('was', 'VBD'), 5)","(('them', 'PRP'), 3)","(('There', 'EX'), 2)","(('should', 'MD'), 2)","(('things', 'NNS'), 2)","(('time', 'NN'), 2)","(('deceitful', 'JJ'), 1)","(('course', 'NN'), 1)","(('anything', 'NN'), 1)","(('condescending', 'NN'), 1)","(('not', 'RB'), 1)","(('have', 'VB'), 1)","(('shame', 'NN'), 1)","((""n't"", 'RB'), 1)","(('up', 'RP'), 1)","((""'m"", 'VBP'), 1)","(('excuse', 'NN'), 1)","(('life', 'NN'), 1)","(('one', 'CD'), 1)"
Ego Puffer,"(('I', 'PRP'), 13)","(('my', 'PRP$'), 7)","(('was', 'VBD'), 5)","(('me', 'PRP'), 5)","(('able', 'JJ'), 3)","(('feel', 'VB'), 3)","(('it', 'PRP'), 3)","(('not', 'RB'), 2)","(('have', 'VB'), 2)","(('drugs', 'NNS'), 2)","(('life', 'NN'), 2)","(('people', 'NNS'), 2)","(('own', 'JJ'), 2)","(('is', 'VBZ'), 2)","(('more', 'RBR'), 2)","(('help', 'VB'), 2)","(('their', 'PRP$'), 2)","(('still', 'RB'), 2)","(('rules', 'NNS'), 2)","(('addiction', 'NN'), 2)"
Ego X＊r,"(('I', 'PRP'), 18)","(('me', 'PRP'), 8)","(('was', 'VBD'), 7)","(('my', 'PRP$'), 6)","(('drugs', 'NNS'), 4)","(('curve', 'NN'), 4)","(('lean', 'VB'), 4)","(('it', 'PRP'), 4)","(('had', 'VBD'), 3)","(('friends', 'NNS'), 3)","(('when', 'WRB'), 3)","(('balls', 'NNS'), 3)","(('how', 'WRB'), 3)","(('have', 'VB'), 3)","(('get', 'VB'), 2)","(('shoulder', 'NN'), 2)","(('up', 'RP'), 2)","(('such', 'JJ'), 2)","(('be', 'VB'), 2)","(('friend', 'NN'), 2)"
Emotions Auditor,"(('I', 'PRP'), 34)","(('my', 'PRP$'), 12)","(('myself', 'PRP'), 6)","(('am', 'VBP'), 6)","(('anxiety', 'NN'), 5)","(('is', 'VBZ'), 5)","(('have', 'VBP'), 5)","(('was', 'VBD'), 5)","(('me', 'PRP'), 5)","(('them', 'PRP'), 4)","(('how', 'WRB'), 4)","(('My', 'PRP$'), 4)","(('recovery', 'NN'), 4)","(('mood', 'NN'), 4)","(('being', 'VBG'), 3)","(('be', 'VB'), 3)","(('use', 'VB'), 3)","(('exiled', 'VBN'), 3)","(('don＊t', 'VBP'), 3)","(('not', 'RB'), 3)"
Emotions Elixir,"(('I', 'PRP'), 75)","(('my', 'PRP$'), 19)","(('them', 'PRP'), 9)","(('is', 'VBZ'), 9)","(('can', 'MD'), 9)","(('it', 'PRP'), 9)","(('was', 'VBD'), 8)","(('am', 'VBP'), 8)","(('emotions', 'NNS'), 7)","(('me', 'PRP'), 7)","((""n't"", 'RB'), 7)","(('very', 'RB'), 6)","(('not', 'RB'), 5)","(('do', 'VBP'), 5)","(('feelings', 'NNS'), 5)","(('have', 'VBP'), 5)","(('conflict', 'NN'), 5)","(('discomfort', 'NN'), 4)","(('think', 'VBP'), 4)","(('are', 'VBP'), 4)"
Emotions Emancipator,"(('is', 'VBZ'), 5)","(('it', 'PRP'), 5)","(('feeling', 'NN'), 4)","(('you', 'PRP'), 3)","(('can', 'MD'), 3)","(('anger', 'NN'), 3)","(('angerexic', 'NN'), 2)","(('be', 'VB'), 2)","(('will', 'MD'), 2)","(('very', 'RB'), 2)","(('me', 'PRP'), 2)","(('just', 'RB'), 2)","(('do', 'VBP'), 2)","(('I', 'PRP'), 2)","(('emotion', 'NN'), 2)","(('lose', 'VB'), 2)","(('order', 'NN'), 2)","(('withholds', 'NNS'), 2)","(('have', 'VBP'), 2)","(('Anger', 'NNP'), 2)"
Emotions Engineer,"(('I', 'PRP'), 31)","(('my', 'PRP$'), 11)","(('was', 'VBD'), 7)","(('me', 'PRP'), 7)","(('they', 'PRP'), 6)","(('them', 'PRP'), 6)","(('feelings', 'NNS'), 6)","(('it', 'PRP'), 6)","(('drugs', 'NNS'), 4)","((""'m"", 'VBP'), 3)","(('could', 'MD'), 3)","(('became', 'VBD'), 3)","(('emotions', 'NNS'), 3)","(('misery', 'NN'), 3)","(('regulate', 'VB'), 3)","(('once', 'RB'), 3)","(('own', 'JJ'), 3)","(('suppressing', 'VBG'), 2)","(('came', 'VBD'), 2)","(('realized', 'VBD'), 2)"
Emotions X-rayer,"(('I', 'PRP'), 17)","(('am', 'VBP'), 8)","(('my', 'PRP$'), 7)","(('not', 'RB'), 5)","(('emotions', 'NNS'), 5)","(('My', 'PRP$'), 4)","(('change', 'NN'), 3)","(('withdrawal', 'NN'), 3)","(('sobriety', 'NN'), 3)","(('Today', 'NN'), 3)","(('motivation', 'NN'), 3)","(('are', 'VBP'), 3)","(('drugs', 'NNS'), 2)","(('be', 'VB'), 2)","(('dark', 'JJ'), 2)","(('days', 'NNS'), 2)","(('choose', 'VBP'), 2)","(('what', 'WP'), 2)","(('experiences', 'NNS'), 2)","(('back', 'RB'), 2)"
Endorphin Flooder,"(('I', 'PRP'), 30)","(('my', 'PRP$'), 16)","(('me', 'PRP'), 7)","(('endorphins', 'NNS'), 5)","(('not', 'RB'), 5)","(('brain', 'NN'), 4)","(('was', 'VBD'), 4)","(('life', 'NN'), 3)","(('things', 'NNS'), 3)","(('that', 'WDT'), 3)","(('have', 'VBP'), 3)","(('drugs', 'NNS'), 3)","(('am', 'VBP'), 3)","(('were', 'VBD'), 3)","(('good', 'JJ'), 3)","(('future', 'NN'), 3)","(('is', 'VBZ'), 3)","(('could', 'MD'), 2)","(('always', 'RB'), 2)","(('My', 'PRP$'), 2)"
Ever Evolving Flower,"(('I', 'PRP'), 59)","(('my', 'PRP$'), 16)","(('me', 'PRP'), 15)","(('was', 'VBD'), 12)","(('is', 'VBZ'), 10)","(('it', 'PRP'), 10)","(('you', 'PRP'), 8)","(('can', 'MD'), 8)","(('had', 'VBD'), 7)","(('I＊m', 'NNP'), 7)","(('am', 'VBP'), 7)","(('so', 'RB'), 6)","(('My', 'PRP$'), 6)","(('change', 'VB'), 6)","(('be', 'VB'), 5)","(('have', 'VBP'), 5)","(('myself', 'PRP'), 5)","(('miracle', 'NN'), 4)","(('life', 'NN'), 4)","(('things', 'NNS'), 4)"
Excrement Expector,"(('I', 'PRP'), 20)","(('my', 'PRP$'), 9)","(('it', 'PRP'), 8)","(('you', 'PRP'), 7)","(('life', 'NN'), 6)","(('will', 'MD'), 5)","(('are', 'VBP'), 4)","(('shit', 'NN'), 4)","(('was', 'VBD'), 3)","(('drugs', 'NNS'), 3)","(('is', 'VBZ'), 3)","(('can', 'MD'), 3)","(('pain', 'NN'), 3)","(('world', 'NN'), 2)","(('excrement', 'JJ'), 2)","(('expect', 'VBP'), 2)","(('go', 'VB'), 2)","(('control', 'VB'), 2)","(('became', 'VBD'), 2)","(('Everything', 'NN'), 2)"
Excuse Exterminator,"(('I', 'PRP'), 64)","(('my', 'PRP$'), 23)","(('excuses', 'NNS'), 16)","(('me', 'PRP'), 12)","(('was', 'VBD'), 9)","(('not', 'RB'), 8)","(('just', 'RB'), 6)","(('had', 'VBD'), 5)","(('myself', 'PRP'), 5)","(('more', 'JJR'), 5)","((""'d"", 'MD'), 5)","(('it', 'PRP'), 5)","(('life', 'NN'), 4)","(('be', 'VB'), 4)","(('when', 'WRB'), 4)","(('made', 'VBD'), 4)","(('use', 'VB'), 4)","(('am', 'VBP'), 4)","(('drugs', 'NNS'), 4)","(('crutch', 'NN'), 4)"
Excuse Nuker,"(('I', 'PRP'), 26)","(('was', 'VBD'), 10)","(('it', 'PRP'), 8)","(('me', 'PRP'), 6)","(('my', 'PRP$'), 5)","(('excuses', 'NNS'), 4)","(('rationalize', 'VB'), 3)","(('doing', 'VBG'), 3)","(('myself', 'PRP'), 3)","(('things', 'NNS'), 3)","(('time', 'NN'), 3)","(('just', 'RB'), 3)","(('them', 'PRP'), 3)","(('that', 'WDT'), 3)","(('are', 'VBP'), 3)","(('led', 'VBD'), 2)","(('least', 'JJS'), 2)","(('up', 'RP'), 2)","(('am', 'VBP'), 2)","(('life', 'NN'), 2)"
Excuse X＊r,"(('I', 'PRP'), 17)","(('my', 'PRP$'), 10)","(('was', 'VBD'), 5)","(('it', 'PRP'), 4)","(('is', 'VBZ'), 4)","(('there', 'EX'), 3)","(('myself', 'PRP'), 3)","(('excuses', 'NNS'), 3)","(('recovery', 'NN'), 3)","(('that', 'WDT'), 3)","(('possible', 'JJ'), 2)","(('fault', 'NN'), 2)","(('had', 'VBD'), 2)","(('will', 'MD'), 2)","(('what', 'WP'), 2)","(('me', 'PRP'), 2)","(('do', 'VB'), 2)","(('nothing', 'NN'), 2)","(('asking', 'VBG'), 2)","(('have', 'VBP'), 2)"
Faith Factory,"(('I', 'PRP'), 7)","(('my', 'PRP$'), 3)","(('it', 'PRP'), 2)","(('not', 'RB'), 2)","(('life', 'NN'), 2)","(('rules', 'NNS'), 2)","(('is', 'VBZ'), 2)","(('addiction', 'NN'), 2)","(('do', 'VBP'), 1)","(('still', 'RB'), 1)","(('said', 'VBD'), 1)","(('Today', 'NN'), 1)","(('clean', 'JJ'), 1)","(('suffer', 'VB'), 1)","(('heard', 'VBD'), 1)","(('do', 'VB'), 1)","(('able', 'JJ'), 1)","(('world', 'NN'), 1)","(('today', 'NN'), 1)","(('absolutely', 'RB'), 1)"
Faith Flooder,"(('I', 'PRP'), 56)","(('my', 'PRP$'), 17)","(('me', 'PRP'), 13)","(('was', 'VBD'), 9)","(('it', 'PRP'), 8)","(('is', 'VBZ'), 7)","(('life', 'NN'), 6)","(('have', 'VBP'), 6)","(('get', 'VB'), 6)","(('had', 'VBD'), 5)","(('are', 'VBP'), 5)","(('clean', 'JJ'), 5)","(('power', 'NN'), 5)","(('God', 'NNP'), 4)","(('up', 'RP'), 4)","(('can', 'MD'), 4)","(('just', 'RB'), 4)","(('always', 'RB'), 3)","(('When', 'WRB'), 3)","(('do', 'VBP'), 3)"
Fear FYI＊r,"(('can', 'MD'), 4)","((""'re"", 'VBP'), 3)","(('be', 'VB'), 3)","(('your', 'PRP$'), 3)","(('time', 'NN'), 3)","(('do', 'VB'), 2)","(('not', 'RB'), 2)","(('life', 'NN'), 2)","(('such', 'JJ'), 2)","(('grave', 'NN'), 2)","(('they', 'PRP'), 2)","(('you', 'PRP'), 2)","(('每', 'NN'), 2)","(('reminder', 'NN'), 2)","(('do', 'VBP'), 1)","(('I', 'PRP'), 1)","(('situation', 'NN'), 1)","(('opposite', 'JJ'), 1)","(('worthless.§', 'VBN'), 1)","(('wasting', 'VBG'), 1)"
Fear Flusher,"(('I', 'PRP'), 16)","(('my', 'PRP$'), 9)","(('is', 'VBZ'), 6)","(('it', 'PRP'), 5)","(('life', 'NN'), 4)","(('I＊m', 'NNP'), 4)","(('not', 'RB'), 3)","(('change', 'VB'), 3)","(('comfortable', 'JJ'), 3)","(('me', 'PRP'), 3)","(('groups', 'NNS'), 3)","((""'s"", 'VBZ'), 3)","(('keep', 'VB'), 3)","(('My', 'PRP$'), 3)","(('recovery', 'NN'), 3)","(('have', 'VB'), 3)","(('was', 'VBD'), 2)","(('you', 'PRP'), 2)","(('doing', 'VBG'), 2)","(('am', 'VBP'), 2)"
Feelings Fantasizer,"(('I', 'PRP'), 20)","(('feelings', 'NNS'), 7)","(('my', 'PRP$'), 7)","(('am', 'VBP'), 6)","(('not', 'RB'), 5)","(('them', 'PRP'), 5)","(('My', 'PRP$'), 4)","(('have', 'VBP'), 4)","(('change', 'NN'), 3)","(('they', 'PRP'), 3)","(('emotions', 'NNS'), 3)","(('withdrawal', 'NN'), 3)","(('Today', 'NN'), 3)","(('motivation', 'NN'), 3)","(('are', 'VBP'), 3)","(('motivated', 'VBN'), 2)","(('today', 'NN'), 2)","(('suppressing', 'VBG'), 2)","(('moments', 'NNS'), 2)","(('up', 'RP'), 2)"
Feelings Felicitizer,"(('I', 'PRP'), 23)","(('my', 'PRP$'), 7)","(('it', 'PRP'), 6)","(('feelings', 'NNS'), 5)","(('emotions', 'NNS'), 4)","(('is', 'VBZ'), 4)","(('not', 'RB'), 4)","(('am', 'VBP'), 4)","(('feel', 'VB'), 4)","(('can', 'MD'), 4)","(('anger', 'NN'), 4)","(('anything', 'NN'), 3)","(('be', 'VB'), 3)","(('what', 'WP'), 3)","(('do', 'VBP'), 3)","(('feeling', 'NN'), 3)","(('you', 'PRP'), 3)","(('drugs', 'NNS'), 3)","(('just', 'RB'), 3)","(('order', 'NN'), 3)"
Feelings Flipper,"(('I', 'PRP'), 68)","(('my', 'PRP$'), 30)","(('feelings', 'NNS'), 12)","(('was', 'VBD'), 11)","(('am', 'VBP'), 10)","(('me', 'PRP'), 9)","(('can', 'MD'), 8)","((""n't"", 'RB'), 7)","(('is', 'VBZ'), 7)","(('it', 'PRP'), 7)","(('good', 'JJ'), 6)","(('be', 'VB'), 5)","(('them', 'PRP'), 5)","(('not', 'RB'), 5)","(('did', 'VBD'), 5)","(('feel', 'VB'), 5)","((""'d"", 'MD'), 5)","(('important', 'JJ'), 4)","(('have', 'VBP'), 4)","(('friends', 'NNS'), 4)"
Finish Line Forgetter,"(('I', 'PRP'), 42)","(('my', 'PRP$'), 12)","(('was', 'VBD'), 9)","(('what', 'WP'), 7)","(('is', 'VBZ'), 6)","(('now', 'RB'), 5)","(('me', 'PRP'), 5)","(('it', 'PRP'), 5)","(('finish', 'JJ'), 4)","(('line', 'NN'), 4)","(('never', 'RB'), 4)","(('get', 'VB'), 4)","(('can', 'MD'), 4)","(('baby', 'JJ'), 4)","(('steps', 'NNS'), 4)","(('doing', 'VBG'), 3)","(('things', 'NNS'), 3)","(('have', 'VBP'), 3)","(('something', 'NN'), 3)","(('wanted', 'VBD'), 3)"
Forgiveness Flooder,"(('I', 'PRP'), 7)","(('had', 'VBD'), 3)","(('amends', 'NNS'), 3)","(('me', 'PRP'), 3)","(('we', 'PRP'), 2)","(('make', 'VB'), 2)","(('is', 'VBZ'), 2)","(('did', 'VBD'), 2)","(('who', 'WP'), 2)","(('she', 'PRP'), 2)","(('what', 'WP'), 2)","(('way', 'NN'), 1)","(('much', 'JJ'), 1)","(('her', 'PRP'), 1)","(('terms', 'NNS'), 1)","(('not', 'RB'), 1)","(('over-prescribed', 'JJ'), 1)","(('journey', 'NN'), 1)","(('approach', 'NN'), 1)","(('say', 'VB'), 1)"
Forgiveness Rusher,"(('I', 'PRP'), 25)","(('my', 'PRP$'), 10)","(('am', 'VBP'), 7)","(('amends', 'NNS'), 6)","(('me', 'PRP'), 6)","(('going', 'VBG'), 6)","(('will', 'MD'), 5)","(('make', 'VB'), 5)","(('have', 'VBP'), 4)","(('making', 'VBG'), 4)","(('someone', 'NN'), 4)","(('them', 'PRP'), 4)","(('be', 'VB'), 3)","(('what', 'WP'), 3)","(('is', 'VBZ'), 3)","(('it', 'PRP'), 3)","(('one', 'CD'), 3)","(('harm', 'VB'), 3)","(('pain', 'NN'), 3)","(('not', 'RB'), 2)"
Foul Weather Friender,"(('I', 'PRP'), 30)","(('my', 'PRP$'), 16)","(('people', 'NNS'), 15)","(('friends', 'NNS'), 11)","(('me', 'PRP'), 10)","(('who', 'WP'), 9)","(('have', 'VBP'), 8)","(('are', 'VBP'), 7)","(('were', 'VBD'), 6)","(('would', 'MD'), 5)","(('not', 'RB'), 5)","(('is', 'VBZ'), 5)","(('it', 'PRP'), 5)","(('relationships', 'NNS'), 5)","(('they', 'PRP'), 4)","(('They', 'PRP'), 4)","(('recovery', 'NN'), 4)","(('them', 'PRP'), 4)","(('their', 'PRP$'), 4)","(('have', 'VB'), 4)"
Frenzy Freezer,"(('I', 'PRP'), 25)","(('my', 'PRP$'), 13)","(('me', 'PRP'), 9)","(('situation', 'NN'), 6)","(('is', 'VBZ'), 6)","(('not', 'RB'), 5)","(('problem', 'NN'), 5)","(('anxiety', 'NN'), 4)","(('When', 'WRB'), 4)","(('get', 'VB'), 4)","(('can', 'MD'), 4)","(('it', 'PRP'), 4)","(('be', 'VB'), 3)","(('always', 'RB'), 3)","(('have', 'VBP'), 3)","(('more', 'JJR'), 3)","(('that', 'WDT'), 3)","(('will', 'MD'), 3)","(('am', 'VBP'), 3)","(('problems', 'NNS'), 3)"
Giverade ,"(('I', 'PRP'), 17)","(('was', 'VBD'), 7)","(('forward', 'RB'), 5)","(('it', 'PRP'), 5)","((""n't"", 'RB'), 4)","(('my', 'PRP$'), 4)","(('had', 'VBD'), 3)","(('did', 'VBD'), 3)","(('friends', 'NNS'), 3)","(('paying', 'VBG'), 3)","(('they', 'PRP'), 2)","(('addiction', 'NN'), 2)","(('who', 'WP'), 2)","(('me', 'PRP'), 2)","(('facade', 'NN'), 2)","(('being', 'VBG'), 2)","(('positive', 'JJ'), 2)","(('much', 'JJ'), 1)","(('detox', 'NN'), 1)","(('same', 'JJ'), 1)"
God Grounder,"(('I', 'PRP'), 33)","(('me', 'PRP'), 14)","(('my', 'PRP$'), 13)","(('God', 'NNP'), 10)","(('am', 'VBP'), 8)","(('is', 'VBZ'), 6)","(('food', 'NN'), 6)","(('out', 'RP'), 5)","(('that', 'WDT'), 5)","(('not', 'RB'), 5)","(('recovery', 'NN'), 4)","(('have', 'VBP'), 4)","(('get', 'VB'), 4)","(('can＊t', 'VBP'), 4)","(('can', 'MD'), 4)","(('be', 'VB'), 3)","(('go', 'VB'), 3)","(('would', 'MD'), 3)","(('do', 'VBP'), 3)","(('alcohol', 'NN'), 3)"
Good Will Gardener,"(('I', 'PRP'), 7)","(('connections', 'NNS'), 3)","(('build', 'VB'), 2)","(('new', 'JJ'), 2)","(('bridges', 'NNS'), 2)","(('is', 'VBZ'), 2)","(('myself', 'PRP'), 2)","(('more', 'JJR'), 2)","(('growth', 'NN'), 1)","(('amount', 'NN'), 1)","(('begin', 'VBP'), 1)","(('continuing', 'VBG'), 1)","(('path', 'NN'), 1)","(('love', 'NN'), 1)","(('short', 'JJ'), 1)","(('change', 'NN'), 1)","(('when', 'WRB'), 1)","(('feel', 'VB'), 1)","(('shy', 'JJ'), 1)","(('am', 'VBP'), 1)"
Grace Moonlighter,"(('I', 'PRP'), 40)","(('my', 'PRP$'), 13)","(('me', 'PRP'), 7)","(('have', 'VBP'), 7)","(('not', 'RB'), 4)","(('am', 'VBP'), 4)","(('when', 'WRB'), 4)","(('just', 'RB'), 4)","(('When', 'WRB'), 4)","(('is', 'VBZ'), 4)","(('power', 'NN'), 3)","(('God', 'NNP'), 3)","(('it', 'PRP'), 3)","(('future', 'NN'), 3)","(('alcohol', 'NN'), 3)","(('can', 'MD'), 3)","(('get', 'VB'), 2)","(('using', 'VBG'), 2)","(('Today', 'NN'), 2)","(('up', 'RP'), 2)"
Gratitude Gardener,"(('I', 'PRP'), 11)","(('am', 'VBP'), 4)","(('my', 'PRP$'), 4)","(('me', 'PRP'), 4)","(('God', 'NNP'), 3)","(('problems', 'NNS'), 2)","(('melt', 'VB'), 2)","(('early', 'RB'), 2)","(('that', 'WDT'), 2)","(('find', 'VB'), 2)","(('would', 'MD'), 2)","(('do', 'VBP'), 1)","(('get', 'VB'), 1)","(('There', 'EX'), 1)","(('had', 'VBD'), 1)","(('anything', 'NN'), 1)","(('opposite', 'JJ'), 1)","(('daily', 'JJ'), 1)","(('was', 'VBD'), 1)","(('can', 'MD'), 1)"
Gratitude Goosebumper,"(('I', 'PRP'), 5)","(('it', 'PRP'), 4)","(('was', 'VBD'), 4)","(('miracle', 'NN'), 4)","(('so', 'RB'), 3)","(('is', 'VBZ'), 2)","(('my', 'PRP$'), 2)","(('day', 'NN'), 2)","(('thing', 'NN'), 2)","(('me', 'PRP'), 2)","(('possible', 'JJ'), 2)","(('do', 'VB'), 1)","(('thought', 'VBD'), 1)","(('had', 'VBD'), 1)","(('anything', 'NN'), 1)","(('miracles', 'NNS'), 1)","(('blessed', 'JJ'), 1)","(('sober', 'VBN'), 1)","(('too', 'RB'), 1)","(('newfound', 'JJ'), 1)"
Gratitude Grower,"(('I', 'PRP'), 22)","(('my', 'PRP$'), 6)","(('had', 'VBD'), 5)","(('me', 'PRP'), 5)","(('life', 'NN'), 4)","(('be', 'VB'), 4)","(('not', 'RB'), 4)","(('it', 'PRP'), 4)","(('am', 'VBP'), 3)","(('lot', 'NN'), 3)","(('what', 'WP'), 3)","(('made', 'VBD'), 3)","(('hell', 'NN'), 3)","(('back', 'RB'), 3)","(('poor', 'JJ'), 3)","(('is', 'VBZ'), 3)","(('beautiful', 'JJ'), 2)","(('being', 'VBG'), 2)","(('why', 'WRB'), 2)","(('who', 'WP'), 2)"
