,1,2,3,4,5,6,7,8,9,10
BELIEFS,"('WORTHINESS / self love & acceptance', 1)","('TRUST', 1)","('THOUGHTS', 1)","('SELF ESTEEM / beliefs', 1)","('INNER MASTERY / beliefs & awareness', 1)","('WORTHINESS / new life & future', 0)","('WORTHINESS / help', 0)","('WORTHINESS / deserve & rewards', 0)","('WORTHINESS / connections & sharing', 0)","('WARNINGS / self aware & listen', 0)"
BENEFITS / COSTS,"('TRUTH / Costs', 1)","('REGRET', 1)","('PAST', 1)","('MINDSET / obstacles & challenge', 1)","('INNER POWER / Decisions', 1)","('INNER / SELF / awareness', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)","('WORTHINESS / help', 0)","('WORTHINESS / deserve & rewards', 0)"
BINGE,"('RESPONSIBILITY', 1)","('MOODS', 1)","('INNER POWER / Self control & willpower', 1)","('INNER MASTERY / challenge & resilience', 1)","('GROWTH / true self', 1)","('CONFIDENCE /  obstacles & challenge', 1)","('CONFESSION / admit', 1)","('CHANGE / mental confidence', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)"
BITTERNESS,"('VULNERABILITY / Show true self', 1)","('TRUTH / self honesty', 1)","('NEGATIVITY', 1)","('AGONY', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)","('WORTHINESS / help', 0)","('WORTHINESS / deserve & rewards', 0)","('WORTHINESS / connections & sharing', 0)","('WARNINGS / self aware & listen', 0)"
BLAME,"('TRUTH / self honesty', 2)","('VULNERABILITY / learning and mistakes', 1)","('RESPONSIBILITY', 1)","('EXCUSES', 1)","('DENIAL', 1)","('CONFIDENCE /  obstacles & challenge', 1)","('CONFESSION / admit', 1)","('ACCOUNTABILITY / damage confess', 1)","('ACCOUNTABILITY / Own up', 1)","('ACCOUNTABILITY / De-blame', 1)"
CHANGE / action & behavior,"('CONFIDENCE /  hope & future', 2)","('WORTHINESS / new life & future', 1)","('WARNINGS / Avoid triggers', 1)","('TRIGGERS / tools & techniques', 1)","('PROGRESS / start small', 1)","('INNER MASTERY / self control', 1)","('FREEDOM / tools & strategies', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / help', 0)","('WORTHINESS / deserve & rewards', 0)"
CHANGE / beliefs,"('INNER / SELF / beliefs & insight', 3)","('SOBRIETY / costs & benefits', 2)","('MINDSET / Clear headed', 2)","('FREEDOM', 2)","('WORTHINESS / connections & sharing', 1)","('TRUTH / self honesty', 1)","('TRUTH / Inventory', 1)","('THOUGHTS', 1)","('RESPONSIBILITY', 1)","('RELAPSE', 1)"
CHANGE / courage,"('INNER POWER / Fears & Strength', 2)","('FEAR', 2)","('CONFESSION / denial', 2)","('TRUTH / Admit addiction', 1)","('SOBRIETY / costs & benefits', 1)","('RESILIENCE / discomfort', 1)","('MINDSET / identify weaknesses', 1)","('MINDSET', 1)","('INNER POWER / Vulnerability', 1)","('INNER MASTERY / strength', 1)"
CHANGE / mental confidence,"('SOBRIETY / costs & benefits', 4)","('WARNINGS / self aware & listen', 2)","('PROGRESS / future & hope', 2)","('MINDSET / tolerate discomfort', 2)","('MINDSET / Clear headed', 2)","('GROWTH / true self', 2)","('FREEDOM / peace & harmony', 2)","('COMMUNITY / healthy relationships', 2)","('WORTHINESS / self love & acceptance', 1)","('WORTHINESS / connections & sharing', 1)"
CHANGE / motivations,"('TRUTH / Costs', 2)","('SOBRIETY / costs & benefits', 2)","('SOBRIETY / celebrate & progress', 2)","('MINDSET / no matter what', 2)","('FREEDOM / past & let go', 2)","('DEAD END', 2)","('WORTHINESS / new life & future', 1)","('URGES / tools & techniques', 1)","('TRUTH / Admit addiction', 1)","('PROGRESS / future & hope', 1)"
CHANGE / self love & true self,"('INNER / SELF / patterns', 2)","('GROWTH / behavior & habits', 2)","('FREEDOM / future & growth', 2)","('CONFIDENCE /  hope & future', 2)","('WORTHINESS / new life & future', 1)","('VULNERABILITY / Show true self', 1)","('TRUTH / self honesty', 1)","('SELF ESTEEM / beliefs', 1)","('SELF ESTEEM / behavior', 1)","('LOVE ', 1)"
