,1,2,3,4,5,6,7,8,9,10
BINGE,"('The Debinger', 2)","('The Procrastina-shunner', 1)","('Sobriety SOB’r', 1)","('Self Unscrewer', 1)","('SELF HARM ALARMER / avoid triggers', 1)","('Lazy Zapper', 1)","('Inner Winner', 1)","('Dire Extinguisher', 1)","('Depression X’r', 1)","('Crisis Catapulter', 1)"
BITTERNESS,"('VULNERABILITY / reach out for help', 1)","('The Depre-shunner', 1)","('Soul-vation ', 1)","('Misery Miser', 1)","('Gripe Sniper', 1)","('Downer Frowner', 1)","('CLOSET CONFESSOR / Face truths', 1)","('Bitter Truth Taster', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)"
BLAME,"('ADMIT / accountability', 3)","('The Deblamer', 2)","('Blamenesia', 2)","('Victim Vanquisher', 1)","('VULNERABILITY / listen to others', 1)","('VULNERABILITY / admit', 1)","('Responsibility Rebooter', 1)","('Responsibility 101’r', 1)","('Mentality Mender', 1)","('Insight Inseminator', 1)"
CHANGE / action & behavior,"('Void Avoider', 1)","('Trigger Trespasser', 1)","('Trigger SOS’r', 1)","('The Wellectrifier', 1)","('The De-stress-calator', 1)","('SELF HARM ALARMER / avoid triggers', 1)","('RAW SOUL REVEALER / emotions & urges', 1)","('New Pattern Painter / confidence & awareness', 1)","('Negativity Ninja', 1)","('Little Hint Listener', 1)"
CHANGE / beliefs,"('Belief Superseder', 6)","('Mentality Mender', 3)","('Brain Unchainer', 3)","('ADMIT / Decisions & beliefs', 3)","('VULNERABILITY / mistakes & learning', 2)","('I-Examiner', 2)","('Whole Soul Healer', 1)","('VULNERABILITY / share with god', 1)","('The Mindfulizer', 1)","('THOUGHTS / positivity', 1)"
CHANGE / courage,"('Thy Will Be Doner', 2)","('Denial Denyer', 2)","('Braverade', 2)","('Almighty Alchemizer', 2)","('WAIT AND SWITCH / Small steps', 1)","('VULNERABILITY / mistakes & learning', 1)","('The Blessifier', 1)","('Soul Survivor', 1)","('Progress Pollinator', 1)","('Pink Cloud Clinger', 1)"
CHANGE / mental confidence,"('WAIT AND SWITCH / Emotions', 2)","('Void Avoider', 2)","('Torment Terminator', 2)","('New Pattern Painter / grit & progress', 2)","('Mentality Mender', 2)","('Lazy Zapper', 2)","('Feelings Flipper', 2)","('Emotions Elixir', 2)","('Dire Extinguisher', 2)","('Worthy Soul’r', 1)"
CHANGE / motivations,"('Killer Kickstarter', 5)","('The Dynamotivator', 4)","('Addiction AMF’r', 4)","('Torment Terminator', 3)","('NEW PATTERN PAINTER / motivations', 3)","('Grave Trigger', 3)","('NEW LIFE / POSSIBILITIES', 2)","('Inner Soul X-Rayer', 2)","('I-examiner - motivations', 2)","('I-Examiner', 2)"
CHANGE / self love & true self,"('Self Worth Surfer', 3)","('Ever Evolving Flower', 3)","('New Pattern Painter / grit & progress', 2)","('Bad Habit Butcher', 2)","('ADMIT / Decisions & beliefs', 2)","('Worthy Soul’r', 1)","('Values VIP’r', 1)","('VULNERABILITY / Radical self honesty', 1)","('The Blessifier', 1)","('Soul Surgeon', 1)"
CHANGE / thoughts,"('Thought Auditor', 2)","('THOUGHTS / aware & examine', 2)","('Self Awareness Awakener', 2)","('Brain Unchainer', 2)","('Spiritual Conquest-ador', 1)","('Serenity Soulmater', 1)","('SELF HARM / Self honesty & admit', 1)","('RAW SOUL REVEALER / thoughts', 1)","('Negativity Negotiator', 1)","('Monkey Mind Cleanser', 1)"
