,1,2,3,4,5,6,7,8,9,10
Craver Saver / Braver,"('SELF HARM ALARMER / avoid triggers', 2)","('SELF HARM / Tools', 2)","('RELATIONSHIPS / Meetings & support', 2)","('Worthy Soul’r', 1)","('Whole Soul Healer', 1)","('Void Avoider', 1)","('VULNERABILITY / share challenges', 1)","('VULNERABILITY / connections', 1)","('Torment Terminator', 1)","('The Empathologist', 1)"
Craverade,"('Compulsion KO’r', 2)","('Urge Auditor', 1)","(""Self Control 101'r"", 1)","('Reactions Auditor', 1)","('Placid Reflux', 1)","('Pain Abstainer', 1)","('Inner Power Allower', 1)","('Inner Forgiverizer', 1)","('Ill Feelings Illuminator', 1)","('Controller Coaster', 1)"
Cravings 101'r,"(""Self Control 101'r"", 2)","('SELF HARM ALARMER / avoid triggers', 2)","('WAIT AND SWITCH / Small steps', 1)","('Torment Terminator', 1)","('The Benefisher', 1)","('Soul Controller', 1)","('Sobriety SOS’r', 1)","('Self awareness / habits & behavior', 1)","('SELF HARM / Warnings', 1)","('RELATIONSHIPS / Meetings & support', 1)"
Crisis Catapulter,"('VULNERABILITY / reach out for help', 1)","('The Debinger', 1)","('THOUGHTS / positivity', 1)","('Sabotage SOS’r', 1)","('SELF HARM ALARMER / avoid triggers', 1)","('Negativity Ninja', 1)","('I-examiner - reactions & behavior', 1)","('Frenzy Freezer', 1)","('Disaster Blaster', 1)","('Dire Extinguisher', 1)"
Crisis Cracker,"('Challenge Ninja', 2)","('The Blocksmither', 1)","('Reactions Auditor', 1)","('Manic Massager', 1)","('Inner Light Illuminator', 1)","('Dire Extinguisher', 1)","('Blemish Cherisher', 1)","('Adversity Avenger', 1)","('Addiction AMF’r', 1)","('Wrong Righter', 0)"
Daily Daisy Spotter,"('VULNERABILITY / mistakes & learning', 1)","('Perspective Detective', 1)","('Opportunity Oompher', 1)","('Inner Motor Motivator', 1)","('Blunder Blesser', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)"
Damage Detective,"('VULNERABILITY / share challenges', 1)","('Self awareness / confidence to admit', 1)","('Relationship Redeemer', 1)","('RAW SOUL REVEALER / past mistakes', 1)","('I-examiner - reactions & behavior', 1)","('I-Examiner', 1)","('Hardship Hacker', 1)","('CLOSET CONFESSOR / Inventory', 1)","('CLOSET CONFESSOR / Face truths', 1)","('CLOSET CONFESSOR / Admit addiction', 1)"
Damage Doctor,"('RAW SOUL REVEALER / past mistakes', 2)","('CLOSET CONFESSOR / Share & support', 2)","('Brain Unchainer', 2)","('WAIT AND SWITCH / Progress', 1)","('VULNERABILITY / support from others', 1)","('VULNERABILITY / admit', 1)","('Torment Terminator', 1)","('The Blessifier', 1)","('Relationship Redeemer', 1)","('Relationship Dedamager', 1)"
Danger Ranger,"('VULNERABILITY / listen to others', 1)","('Urge X’r', 1)","('Self Awareness Awakener', 1)","('SELF HARM ALARMER / avoid triggers', 1)","('SELF HARM / Tools', 1)","('Quarrel Quasher', 1)","('Placid Reflux', 1)","('Little Hint Listener', 1)","('I-Examiner', 1)","('Delusion Detector', 1)"
Dead End Defier ,"('Torment Terminator', 3)","('Lost Benefit Lamenter', 3)","('Black Hole Blesser', 2)","('Bitter Truth Taster', 2)","('Addiction AMF’r', 2)","('WAIT AND SWITCH / Progress', 1)","('VULNERABILITY / support from others', 1)","('The Hopenotizer', 1)","('The Blessifier', 1)","('Symbolic Stepper', 1)"
Dead End Deluder,"('Rationalization Rinser', 2)","('Just One Justifier', 2)","('Worthiness Whisperer', 1)","('VULNERABILITY / support from others', 1)","('The Wellectrifier', 1)","('The Dynamotivator', 1)","('Sabotage SOS’r', 1)","('Responsibility Rebooter', 1)","('RELATIONSHIPS / Trust & vulnerability', 1)","('RAW SOUL REVEALER / worthiness', 1)"
Deep Down Diver,"('VULNERABILITY / Radical self honesty', 3)","('Self awareness / confidence to admit', 2)","('Self Awareness Awakener', 2)","('SELF HARM / Self honesty & admit', 2)","('Inner Soul X-Rayer', 2)","('Inner Eye Opener', 2)","('Demon Greeter', 2)","('VULNERABILITY / listen to others', 1)","('VULNERABILITY / admit', 1)","('Urge Namerizer', 1)"
Deluge Refuge,"('The De-stress-calator', 1)","('Sabotage SOS’r', 1)","('Placid Reflux', 1)","('Must Buster', 1)","('Crisis Catapulter', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)"
Delusion Detector,"('VULNERABILITY / listen to others', 2)","('Insanity SOS’r', 2)","('Inner Light Illuminator', 2)","('Worthiness Whisperer', 1)","('WAIT AND SWITCH / Emotions', 1)","('VULNERABILITY / admit', 1)","('Urge Purger', 1)","('Torment Terminator', 1)","('The Deshamer', 1)","('Temperance Tester', 1)"
Demon Dethroner ,"('Torment Terminator', 1)","('The De-stress-calator', 1)","('Sobriety Soulmater', 1)","('Scary Stepper', 1)","('RAW SOUL REVEALER / emotions & urges', 1)","('New Pattern Painter / confidence & awareness', 1)","('Killer Kickstarter', 1)","('Inner Winner', 1)","('Gremlin Greeter', 1)","('Grave Trigger', 1)"
Demon Doctor,"('VULNERABILITY / reach out for help', 1)","('THOUGHTS / aware & examine', 1)","('NEW PATTERN PAINTER / share & learn', 1)","('Illogical Looper', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)"
Demon Duper,"('Mighty Motor Cranker', 1)","('Compulsion KO’r', 1)","('Addiction AMF’r', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Demon Greeter,"('Killer Kickstarter', 2)","('Deep Down Diver', 2)","('VULNERABILITY / Radical self honesty', 1)","('Trigger SOS’r', 1)","('Torment Terminator', 1)","('THOUGHTS / aware & examine', 1)","('Symbolic Stepper', 1)","('Self Awareness Awakener', 1)","('SELF HARM / Warnings', 1)","('I-Examiner', 1)"
Denial Denyer,"('CLOSET CONFESSOR / Admit addiction', 3)","('VULNERABILITY / Radical self honesty', 2)","('Worthy Soul’r', 1)","('WAIT AND SWITCH / Progress', 1)","('VULNERABILITY / mistakes & learning', 1)","('The Deblamer', 1)","('Sober Selfie', 1)","('Self Awareness Awakener', 1)","('RAW SOUL REVEALER / thoughts', 1)","('Pride Puffer', 1)"
Depression Debugger,"('WAIT AND SWITCH / Emotions', 1)","('Torment Terminator', 1)","('Soul Tuner', 1)","('Melancholy Melter', 1)","('Joy Kickstarter', 1)","('Inner Soul X-Rayer', 1)","('Endorphin Flooder', 1)","('Damage Doctor', 1)","('Brain Unchainer', 1)","('Wrong Righter', 0)"
Depression Decrypter,"('Self Awareness Awakener', 1)","('Reactions Auditor', 1)","('Placid Reflux', 1)","('Misery Minister', 1)","('Inner Power Allower', 1)","('Ill Feelings Illuminator', 1)","('Confidence Caffeinator', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)"
Depression Dethroner,"('Torment Terminator', 1)","('SELF HARM ALARMER / avoid triggers', 1)","('Misery Miser', 1)","('Downer Frowner', 1)","(""Cravings 101'r"", 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)"
Depression X’r,"('WAIT AND SWITCH / Emotions', 1)","('Trigger SOS’r', 1)","('The Procrastina-shunner', 1)","('Self Unscrewer', 1)","('Self Harm Alarmer', 1)","('Lazy Zapper', 1)","('Dire Extinguisher', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)"
Despair Doctor,"('RAW SOUL REVEALER / emotions & urges', 1)","('Melancholy Melter', 1)","('Hurt Hugger', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Destiny Diviner,"('Spiritual Conquest-ador', 1)","('Sobriety Soulmater', 1)","('Opportunity Oompher', 1)","('Inner Freedom Forager', 1)","('Gratitude Guru', 1)","('Ever Evolving Flower', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)"
Dire Extinguisher,"('WAIT AND SWITCH / Emotions', 1)","('Values VIP’r', 1)","('Trigger SOS’r', 1)","('The Debinger', 1)","('The Blocksmither', 1)","('Self Harm Alarmer', 1)","('SELF HARM ALARMER / avoid triggers', 1)","('Responsibility Baby Stepper', 1)","('Relationship Dedamager', 1)","('Reactions Auditor', 1)"
Disaster Blaster,"('I-examiner - reactions & behavior', 1)","('Frenzy Freezer', 1)","('Crisis Catapulter', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Disaster Master,"('VULNERABILITY / mistakes & learning', 1)","('Obstacle Smithereener', 1)","('Adversity Ninja', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Distract-shunner,"('The Procrastina-shunner', 1)","('Lazy Zapper', 1)","('Inner Motor Motivator', 1)","('Finish Line Forgetter', 1)","('COMMITMENT knitter / laziness & effort', 1)","('Baby Step Embracer', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)"
Distraction Assassin,"('WAIT AND SWITCH / Progress', 1)","('Denial Denyer', 1)","('Damage Doctor', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Divine Designer,"('Almighty Alchemizer', 2)","('Thy Will Be Doner', 1)","('NEW LIFE / POSSIBILITIES', 1)","('Miracle Embracer', 1)","('Inner Wealth Welcomer', 1)","('Faith Flooder', 1)","('Cosmic Ray Receiver', 1)","('Bliss Kisser', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)"
Double Wronger,"('Values VIP’r', 1)","('Responsibility Baby Stepper', 1)","('Relationship Dedamager', 1)","('Dire Extinguisher', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)"
Doubt Deserter,"('Worthy Soul’r', 1)","('Serenity Soulmater', 1)","('Inner Winner', 1)","('Inner Freedom Forager', 1)","('Wrong Righter', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Downer Frowner,"('Misery Miser', 2)","('Torment Terminator', 1)","('The Depre-shunner', 1)","('SELF HARM ALARMER / avoid triggers', 1)","('Gripe Sniper', 1)","('Depression Dethroner', 1)","(""Cravings 101'r"", 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)"
Ego Eavesdropper,"('NEW PATTERN PAINTER / motivations', 1)","('Mentality Mender', 1)","('Damage Doctor', 1)","('CLOSET CONFESSOR / Share & support', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)"
Ego Eclipser,"('Pride Puffer', 2)","('Instinct Interrogator', 2)","('Arrogance Arrestor', 2)","('Worthiness Whisperer', 1)","('The Blessifier', 1)","('Self awareness / confidence to admit', 1)","('Self Worth Surfer', 1)","('Pride Polisher', 1)","('New Pattern Painter / confidence & awareness', 1)","('Miracle Embracer', 1)"
Ego Excuser,"('The Deshamer', 1)","('Excuse Nuker', 1)","('Delusion Detector', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Ego Puffer,"('Venom Vaporizer', 1)","('Thy Will Be Doner', 1)","('Soul Synchronizer', 1)","('Pride Puffer', 1)","('Powerholic Healer', 1)","('Moody MF’r', 1)","('Low Vibration Lifter', 1)","('Joy Kickstarter', 1)","('Faith Factory', 1)","('Anger Gangster', 1)"
Ego X’r,"('VULNERABILITY / support from others', 1)","('Relationship Dedamager', 1)","('RELATIONSHIPS / Healthy & supportive', 1)","('RELATIONSHIPS / Build connections & community', 1)","('Pride Puffer', 1)","('Low Vibration Lifter', 1)","('Foul Weather Friender', 1)","('Bad Influence Bulldozer', 1)","('Arrogance Arrestor', 1)","('Wrong Righter', 0)"
Emotions Auditor,"('Void Avoider', 1)","('VULNERABILITY / support from others', 1)","('Trigger Trespasser', 1)","('The De-stress-calator', 1)","('Stress Auditor', 1)","('Soul Surgeon', 1)","('Sobriety SOS’r', 1)","('Situation Unscrewer', 1)","('Reactions Auditor', 1)","('Problem Soul-ver', 1)"
Emotions Elixir,"('Feelings Flipper', 2)","('Whole Soul Healer', 1)","('WAIT AND SWITCH / Progress', 1)","('WAIT AND SWITCH / Emotions', 1)","('VULNERABILITY / share emotions', 1)","('Urge Auditor', 1)","('The Mindfulizer', 1)","('Temperance Tester', 1)","('Situation Unscrewer', 1)","('Self Esteem Engineer', 1)"
Emotions Emancipator,"('The Mindfulizer', 2)","('The Defuriator', 1)","('Soul Controller', 1)","('Scary Stepper', 1)","('Reactions Auditor', 1)","('Placid Reflux', 1)","('Nerve Ninja', 1)","('Feelings Felicitizer', 1)","('Angerexia', 1)","('Wrong Righter', 0)"
Emotions Engineer,"('WAIT AND SWITCH / Emotions', 1)","('VULNERABILITY / share emotions', 1)","('THOUGHTS / positivity', 1)","('Negativity Nuker', 1)","('Misery Minister', 1)","('Feelings Fantasizer', 1)","('Compassion Moonlighter', 1)","('CLOSET CONFESSOR / Share & support', 1)","('Brain Unchainer', 1)","('Wrong Righter', 0)"
Emotions X-rayer,"('The Dynamotivator', 1)","('Moody MF’r', 1)","('Killer Kickstarter', 1)","('Feelings Felicitizer', 1)","('Feelings Fantasizer', 1)","('Bipolar Patroller', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)"
Endorphin Flooder,"('Torment Terminator', 1)","('THOUGHTS / positivity', 1)","('Self awareness / habits & behavior', 1)","('New Pattern Painter / confidence & awareness', 1)","('Melancholy Melter', 1)","('Joy Kickstarter', 1)","('Joy Flooder', 1)","('Inner Greatness Greeter', 1)","('I-examiner - reactions & behavior', 1)","('Grace Moonlighter', 1)"
Ever Evolving Flower,"('I-Can-ographer', 2)","('Worthiness Whisperer', 1)","('VULNERABILITY / support from others', 1)","('VULNERABILITY / connections', 1)","('The Blessifier', 1)","('Spiritual Conquest-ador', 1)","('Sobriety Soulmater', 1)","('Sober Selfie', 1)","('Shame X’r', 1)","('Self Worth Surfer', 1)"
Excrement Expector,"('Problem Primer', 2)","('Troubles TBH’r', 1)","('Torment Terminator', 1)","('Sobriety SOS’r', 1)","('Sober Selfie', 1)","(""Self Control 101'r"", 1)","('Scary Stepper', 1)","('SELF HARM / Tools', 1)","('Reactions Auditor', 1)","('Rainbow Hunter', 1)"
Excuse Exterminator,"('Rationalization Rinser', 2)","('VULNERABILITY / mistakes & learning', 1)","('VULNERABILITY / listen to others', 1)","(""Sobriety 101'r"", 1)","('Sabotage SOS’r', 1)","('Rainbow Hunter', 1)","('Pink Cloud Clinger', 1)","('NEW PATTERN PAINTER / admit & amends', 1)","('Moody MF’r', 1)","('Mentality Mender', 1)"
Excuse Nuker,"('The Deshamer', 1)","('Rationalization Rinser', 1)","('New Pattern Painter / grit & progress', 1)","('Inner Soul X-Rayer', 1)","('Inner Motor Motivator', 1)","('I-examiner - motivations', 1)","('Ego Excuser', 1)","('Delusion Detector', 1)","('Bad Habit Butcher', 1)","('Wrong Righter', 0)"
Excuse X’r,"('The Deblamer', 1)","('Self awareness / confidence to admit', 1)","('SELF HARM / Self honesty & admit', 1)","('Responsibility Rebooter', 1)","('Rationalization Rinser', 1)","('I-Examiner', 1)","('Denial Denyer', 1)","('Deep Down Diver', 1)","('Dead End Deluder', 1)","('ADMIT / accountability', 1)"
Faith Factory,"('Thy Will Be Doner', 1)","('Soul Synchronizer', 1)","('Powerholic Healer', 1)","('Ego Puffer', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)"
Faith Flooder,"('Grace Moonlighter', 2)","('Cosmic Ray Receiver', 2)","('Thy Will Be Doner', 1)","('The Wellectrifier', 1)","('The Hopenotizer', 1)","('The Blessifier', 1)","('The Benefisher', 1)","('SELF HARM / Warnings', 1)","('Opportunity Oompher', 1)","('NEW LIFE / POSSIBILITIES', 1)"
Fear FYI’r,"('Rainbow Hunter', 1)","('Inner Motor Motivator', 1)","('Grave Trigger', 1)","('COMMITMENT knitter / above all else', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)"
Fear Flusher,"('Courage Commander', 2)","('Braverade', 2)","('Scary Stepper', 1)","('Progress Pollinator', 1)","('Hurtle Hugger', 1)","('Ever Evolving Flower', 1)","('Deep Down Diver', 1)","('Challenge Ninja', 1)","('Bitter Quitter', 1)","('Adversity Avenger', 1)"
Feelings Fantasizer,"('VULNERABILITY / share emotions', 1)","('The Dynamotivator', 1)","('Killer Kickstarter', 1)","('Emotions X-rayer', 1)","('Emotions Engineer', 1)","('Compassion Moonlighter', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)"
Feelings Felicitizer,"('Moody MF’r', 2)","('The Mindfulizer', 1)","('Tender Feelings TBH’r', 1)","('Self Esteem Engineer', 1)","('RAW SOUL REVEALER / emotions & urges', 1)","('Emotions X-rayer', 1)","('Emotions Emancipator', 1)","('Emotions Elixir', 1)","('Controller Coaster', 1)","('Bipolar Patroller', 1)"
Feelings Flipper,"('SELF HARM / Tools', 2)","('Emotions Elixir', 2)","('Worthy Soul’r', 1)","('WAIT AND SWITCH / Progress', 1)","('Void Avoider', 1)","('Trigger Transformer', 1)","('The Mindfulizer', 1)","('Temperance Tester', 1)","('THOUGHTS / positivity', 1)","('Situation Unscrewer', 1)"
Finish Line Forgetter,"('WAIT AND SWITCH / Small steps', 2)","('The Mindfulizer', 2)","('Baby Step Embracer', 2)","('WAIT AND SWITCH / Progress', 1)","('The Procrastina-shunner', 1)","('Symbolic Stepper', 1)","('Soul Tuner', 1)","('Serenity Soulmater', 1)","('Rainbow Hunter', 1)","('Past #2', 1)"
Forgiveness Flooder,"('The First Amender', 1)","('Responsibility 101’r', 1)","('Relationship Dedamager', 1)","('Metta Motivator', 1)","('ADMIT / healing', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)"
Forgiveness Rusher,"('Relationship Redeemer', 2)","('Wrong Righter', 1)","('The First Amender', 1)","('My Badiator', 1)","('Courage Commander', 1)","('Amender Befriender', 1)","('ADMIT / accountability', 1)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)"
Foul Weather Friender,"('RELATIONSHIPS / Healthy & supportive', 5)","('Bad Influence Bulldozer', 3)","('RELATIONSHIPS / Build connections & community', 2)","('VULNERABILITY / support from others', 1)","('Pride Puffer', 1)","('NEW PATTERN PAINTER / share & learn', 1)","('Misery Miser', 1)","('Low Vibration Lifter', 1)","('Ego X’r', 1)","('Arrogance Arrestor', 1)"
Frenzy Freezer,"('Soul-ution Finder', 1)","('SELF HARM / Tools', 1)","('Qualm Quitter', 1)","('Problem Soul-ver', 1)","('Panic X’r', 1)","('Moody MF’r', 1)","('Insanity SOS’r', 1)","('Ill Feelings Illuminator', 1)","('I-examiner - reactions & behavior', 1)","('Disaster Blaster', 1)"
Giverade ,"('RELATIONSHIPS / Build connections & community', 1)","('NEW PATTERN PAINTER / share & learn', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)","('WAIT AND SWITCH / Progress', 0)"
God Grounder,"('Bliss Kisser', 2)","('Almighty Alchemizer', 2)","('WAIT AND SWITCH / Progress', 1)","('VULNERABILITY / reach out for help', 1)","('Torment Terminator', 1)","('Soul-vation ', 1)","('SELF HARM ALARMER / remove from situations', 1)","('New Pattern Painter', 1)","('Gratitude Gardener', 1)","('Grace Moonlighter', 1)"
Good Will Gardener,"('VULNERABILITY / connections', 1)","('The Blessifier', 1)","('RELATIONSHIPS / Build connections & community', 1)","('Love Sweetener', 1)","('Kindness Karmifier', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)"
Grace Moonlighter,"('Faith Flooder', 2)","('The Benefisher', 1)","('Soul-vation ', 1)","('SELF HARM / Warnings', 1)","('Joy Flooder', 1)","('Inner Greatness Greeter', 1)","('Higher Power Invoker', 1)","('Gratitude Guru', 1)","('God Grounder', 1)","('Ever Evolving Flower', 1)"
Gratitude Gardener,"('New Pattern Painter', 1)","('God Grounder', 1)","('Bliss Kisser', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Gratitude Goosebumper,"('The Blessifier', 1)","('Self Worth Surfer', 1)","('Pride Polisher', 1)","('Miracle Embracer', 1)","('Ever Evolving Flower', 1)","('Ego Eclipser', 1)","('Arrogance Arrestor', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)"
Gratitude Grower,"('The Blessifier', 1)","('Sabotage SOS’r', 1)","('Rationalization Rinser', 1)","('RELATIONSHIPS / Trust & vulnerability', 1)","('Killer Kickstarter', 1)","('I-Can-ographer', 1)","('Excuse Exterminator', 1)","('Ever Evolving Flower', 1)","('Demon Greeter', 1)","('Dead End Deluder', 1)"
Gratitude Guru,"('Worthy Soul’r', 1)","('The Dynamotivator', 1)","('Summer Soulstace', 1)","('Spiritual Conquest-ador', 1)","('Sobriety Soulmater', 1)","('SELF HARM / Warnings', 1)","('Journey Jazzer', 1)","('Inner Sun Shiner', 1)","('Grace Moonlighter', 1)","('Faith Flooder', 1)"
Grave Trigger,"('Torment Terminator', 2)","('Killer Kickstarter', 2)","('VULNERABILITY / support from others', 1)","('VULNERABILITY / mistakes & learning', 1)","('Thy Will Be Doner', 1)","('The Dynamotivator', 1)","('Symbolic Stepper', 1)","('Soul Survivor', 1)","('Rainbow Hunter', 1)","('NEW PATTERN PAINTER / motivations', 1)"
Gremlin Greeter,"('Demon Dethroner ', 1)","('Courage Commander', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)","('WAIT AND SWITCH / Progress', 0)"
Grinch Pincher,"('Feelings Flipper', 1)","('Ego Eclipser', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)","('WAIT AND SWITCH / Progress', 0)"
Gripe Sniper,"('The Depre-shunner', 1)","('Misery Miser', 1)","('Downer Frowner', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Growth Gardener,"('WAIT AND SWITCH / Progress', 1)","('VULNERABILITY / mistakes & learning', 1)","('VULNERABILITY / Radical self honesty', 1)","('Sober Selfie', 1)","('Rainbow Hunter', 1)","('Opportunity Oompher', 1)","('Love Sweetener', 1)","('I-Can-ographer', 1)","('Finish Line Forgetter', 1)","('Ever Evolving Flower', 1)"
Guilt Refunder,"('Relationship Redeemer', 1)","('Amender Befriender', 1)","('ADMIT / accountability', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Gut Gutter,"('Little Hint Listener', 2)","('Instinct Interrogator', 2)","('Worthiness Whisperer', 1)","('THOUGHTS / aware & examine', 1)","('Self awareness / confidence to admit', 1)","('Mentality Mender', 1)","('Inner Guru Guarder', 1)","('I-examiner - motivations', 1)","('Ego Eclipser', 1)","('Delusion Detector', 1)"
Hardship Hacker,"('Worthy Soul’r', 1)","('WAIT AND SWITCH / Progress', 1)","('VULNERABILITY / support from others', 1)","('VULNERABILITY / share challenges', 1)","('The Empathologist', 1)","('Self awareness / confidence to admit', 1)","('RELATIONSHIPS / Meetings & support', 1)","('RAW SOUL REVEALER / trust others', 1)","('RAW SOUL REVEALER / past mistakes', 1)","('Lost Benefit Lamenter', 1)"
Hardship Hugger,"('VULNERABILITY / Radical self honesty', 1)","('Responsibility Baby Stepper', 1)","('Problem Soul-ver', 1)","('Problem Primer', 1)","('Obstacle Oblivionizer', 1)","('Inner Power Allower', 1)","('I-Can-ographer', 1)","('Courage Commander', 1)","('Confidence Colonizer', 1)","('Challenge Ninja', 1)"
Higher Power Invoker,"('The Benefisher', 1)","('Grace Moonlighter', 1)","('Faith Flooder', 1)","('Cosmic Ray Receiver', 1)","('Beloved BFF’r', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)"
Hope Harvester,"('VULNERABILITY / support from others', 1)","('Rainbow Hunter', 1)","('RELATIONSHIPS / Build connections & community', 1)","('NEW PATTERN PAINTER / share & learn', 1)","('NEW LIFE / POSSIBILITIES', 1)","('Memory Rinser', 1)","('Lost Benefit Lamenter', 1)","('Joy Sweetener', 1)","('I-Examiner', 1)","('Craver Saver / Braver', 1)"
Hurt Hugger,"('RAW SOUL REVEALER / emotions & urges', 1)","('Melancholy Melter', 1)","('Despair Doctor', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Hurtle Hugger,"('Fear Flusher', 1)","('Courage Commander', 1)","('Challenge Ninja', 1)","('Adversity Avenger', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)"
